Source,Target
Goose,Geese
Riverbanks,Riverbank
Ornamental Elements,Decorative Elements
Decorative_Elements,Decorative Elements
Fine_Brushwork,Fine Brushwork
Geometric Pattern,Geometric Patterns
Geometric_Patterns,Geometric Patterns
Natural Lighting,Natural Light
Movements,Movement
Chrysanthemum,Chrysanthemums
Japanese Screens,Japanese Screen
Tibetan Buddhism,Tibetan Buddhist
Red Circle,Red Circles
Courtier,Courtiers
Cupids,Cupid
Pipes,Pipe
Brushstroke,Brushstrokes
Parasols,Parasol
Lotus Blossoms,Lotus Flowers
Distant Hill,Distant Hills
Distant_Hills,Distant Hills
Expressions,Expression
Intricate-Patterns,Intricate Patterns
Intricate_Patterns,Intricate Patterns
Elaborate Patterns,Intricate Patterns
Intricate Motifs,Intricate Patterns
Quills,Quill
Detailed Brushstrokes,Detailed Brushwork
Lines,Line
Golden_Background,Gold Background
Bonnets,Bonnet
Mughal Miniatures,Mughal Miniature
Plates,Plate
Illustrations,Illustration
Distant Building,Distant Buildings
Distant_Buildings,Distant Buildings
Background_Landscape,Background Landscape
Background Scenery,Background Landscape
Landscape Background,Background Landscape
Plein-Air,Plein Air
Bold_Brushstrokes,Bold Brushstrokes
Bold Brushwork,Bold Brushstrokes
Trompe-L'Oeil,Trompe-L'Œil
Trompe L'Oeil,Trompe-L'Œil
Ornamental Borders,Decorative Borders
Decorative_Borders,Decorative Borders
Decorative_Border,Decorative Borders
Soft_Palette,Soft Palette
Soft Color Palette,Soft Palette
Flattened Perspective,Flat Perspective
Flat_Perspective,Flat Perspective
Sitting_Figure,Seated_Figure
Delicate Linework,Delicate Lines
Ornamental Border,Decorative Border
Yearning,Longing
Female_Figures,Female_Figure
Female Figure,Female_Figure
Central Figures,Central Figure
Theatre,Theater
Background_Figures,Background Figures
Background Figure,Background Figures
Flutes,Flute
Rocky Formations,Rock Formations
The Magi,Magi
Gondola,Gondolas
Indigenous Cultures,Indigenous Culture
Sketches,Sketch
Woman_Seated,Seated_Woman
Seated_Women,Seated_Woman
Seated_Woman_Chair,Seated_Woman
Sitting_Woman,Seated_Woman
Woman_Sitting,Seated_Woman
St. John,Saint John
Traditional Outfits,Traditional Attire
Traditional Costumes,Traditional Attire
Traditional Garments,Traditional Attire
Red_Drapery,Red Drapery
Observing,Observation
Audiences,Audience
Easels,Easel
Guard,Guards
Hookahs,Hookah
Lotus Pedestals,Lotus Pedestal
Pitchers,Pitcher
Older_Man,Old_Man
Violinist,Violin
Distant Figure,Distant Figures
Distant_Figures,Distant Figures
Warm_Colors,Warm Colors
Fluid Brushwork,Fluid Brushstrokes
Shadow And Light,Light And Shadow
Follower,Followers
Interiors,Interior
Nymph,Nymphs
Nighttime,Night
Woman_Standing,Standing_Woman
Standing_Girl,Standing_Woman
Donors,Donor
Observer,Observers
Headpieces,Headpiece
Gold Backgrounds,Golden Background
Dark_Background,Dark Background
Ornamental Motifs,Decorative Motifs
Ornate Motifs,Decorative Motifs
Line_Work,Line Work
Open_Book,Open Book
Background Pattern,Background Patterns
Background_Pattern,Background Patterns
Asian Ink Wash,Chinese Ink Wash
Crows,Crow
Illuminated Manuscripts,Illuminated Manuscript
Helmets,Helmet
Subdued Color Palette,Subdued Palette
Restrained Palette,Subdued Palette
Japanese_Classical,Japanese Classical
Intricate Detail,Intricate Details
Intricate Design,Intricate Details
Religious Journey,Spiritual Journey
Background_Foliage,Background Foliage
Background Vegetation,Background Foliage
Lotus Thrones,Lotus Throne
Lotus_Throne,Lotus Throne
Native Americans,Native American
Relationship,Relationships
Ornamental_Patterns,Ornamental Patterns
Human_Condition,Human Condition
Graceful Brushstrokes,Delicate Brushstrokes
Subtle Brushstrokes,Delicate Brushstrokes
Frames,Frame
Primitives,Primitive
Ornate Garment,Ornate Garments
Elaborate Garments,Ornate Garments
Ornate Attire,Ornate Garments
Ornate Textiles,Ornate Garments
Ornate Robes,Ornate Garments
Ornate Fabrics,Ornate Garments
Insect,Insects
Distant Landscapes,Distant Landscape
Squirrels,Squirrel
Satirical,Satire
Buddha Shakyamuni,Shakyamuni Buddha
Fine Line,Fine Lines
Ropes,Rope
Wineglass,Wine Glass
Wine Glasses,Wine Glass
Manuscript Page,Manuscript_Page
Male Figure,Male_Figure
Native Life,Indigenous Life
Mythological Creatures,Mythical Creatures
Mythical Beings,Mythical Creatures
Mythical Beasts,Mythical Creatures
Mythical Animals,Mythical Creatures
Mythical Creature,Mythical Creatures
Floral Borders,Floral Border
Floral_Border,Floral Border
Floral_Borders,Floral Border
Walking Sticks,Walking Stick
Zen Buddhist,Zen Buddhism
Standing_Figures,Standing_Figure
Flat_Colors,Flat Colors
Bold_Lines,Bold Lines
Human Figure,Human Figures
Plum_Branches,Plum_Branch
Plum_Tree_Branch,Plum_Branch
Plum_Blossom_Branch,Plum_Branch
Plum Branch,Plum_Branch
Potted Plants,Potted Plant
Ornate Pattern,Ornate Patterns
Ornate Textile Patterns,Ornate Patterns
Ornate Designs,Ornate Patterns
Christian Iconography,Religious Iconography
Bather,Bathers
Celestial_Being,Celestial_Beings
Subtle Color,Subtle Colors
Subtle Lighting,Subtle Colors
Costume,Costumes
Plum_Trees,Plum_Tree
South Asian Manuscript Tradition,Indian Manuscript Tradition
Divine_Figure,Divine_Figures
Surrounding_Figures,Surrounding Figures
Seated Figures,Seated Figure
Another Seated Figure,Seated Figure
Manjusri,Manjushri
Saint Mary Magdalene,Mary Magdalene
Candlesticks,Candlestick
Spiritual Devotion,Religious Devotion
Sacred Texts,Sacred Text
Sitting_Man,Seated_Man
Seated_Men,Seated_Man
Gold Chain Necklace,Gold Chain
Ornate Backdrop,Ornate Background
St. Anne,Saint Anne
Architectural Detail,Architectural Details
Architecture Details,Architectural Details
Architectural_Details,Architectural Details
Indian Medieval,Medieval Indian
Traditional_Painting,Traditional_Art
Traditional_Asian_Art,Traditional_Art
Traditional_Chinese_Art,Traditional_Art
Traditional_Indian_Art,Traditional_Art
Willow Trees,Willow Tree
Divine Figure,Divine Figures
Old_Woman,Elderly_Woman
Older_Woman,Elderly_Woman
Jesus On The Cross,Christ On The Cross
Human_Figure,Human_Figures
Ornate Borders,Ornate Border
Ornate_Borders,Ornate Border
Smaller Boats,Small Boats
Small Boat,Small Boats
Kneeling Figures,Kneeling Figure
Kneeling_Figure,Kneeling Figure
Draped Cloth,Draped Fabric
Traditional Garment,Traditional Clothing
Red Seal,Red Seals
Red_Seals,Red Seals
Pheasants,Pheasant
Mythological_Creatures,Mythical_Creatures
Mythical_Creature,Mythical_Creatures
Mythical_Beasts,Mythical_Creatures
Mythical_Animal,Mythical_Creatures
Mythological_Beings,Mythical_Creatures
Tepee,Tepees
Interior Furnishings,Furnishings
Left Figure,Left_Figure
Life Cycles,Life Cycle
Smaller_Deities,Smaller Deities
Incense Burners,Incense Burner
Panels,Panel
Avalokitesvara,Avalokiteshvara
Red_Curtain,Red Curtain
Feathered Cap,Feathered Hat
Central Deity,Central_Deity
Landscape_Elements,Landscape Elements
Palm Trees,Palm Tree
Peasant,Peasants
Railings,Railing
Egret,Egrets
Bamboo_Stalk,Bamboo_Stalks
Swan,Swans
Ceremonial Object,Ceremonial Objects
Ceremonial Items,Ceremonial Objects
Ritual Objects,Ceremonial Objects
Ceremonial_Objects,Ceremonial Objects
Subdued_Colors,Subdued Colors
Wooden Structures,Wooden Structure
Birdcages,Birdcage
Consequences,Consequence
Stone Walls,Stone Wall
Traditional_Buildings,Traditional_Building
Traditional_Houses,Traditional_Building
Noble_Figures,Noble_Figure
Smooth_Brushwork,Smooth Brushwork
English Portraiture,British Portraiture
Palm-Leaf,Palm Leaf
Palm Leaves,Palm Leaf
Icons,Icon
Red Borders,Red Border
Red_Border,Red Border
Red_Borders,Red Border
Coats Of Arms,Coat Of Arms
Buddha Amida,Amida Buddha
Crucifixions,Crucifixion
Simplified_Forms,Simplified Forms
Natural Color Palette,Natural Palette
Architectural_Background,Architectural Background
Bare Tree,Bare Trees
Symbolic Object,Symbolic Objects
Symbolic_Objects,Symbolic Objects
Teepee,Teepees
Grasslands,Grassland
Ornate Dress,Ornate Clothing
Ornate Costumes,Ornate Clothing
Palm_Branch,Palm Branch
Willow_Trees,Willow_Tree
Washerwoman,Washerwomen
Chicken,Chickens
St. Anthony Abbot,Saint Anthony Abbot
Japanese Buddhism,Japanese Buddhist
Attendant Figure,Attendant Figures
Attendant_Figures,Attendant Figures
Floral Design,Floral Designs
Floral_Designs,Floral Designs
Executioners,Executioner
Floral_Pattern,Floral_Patterns
Snails,Snail
Celestial Figure,Celestial Figures
Celestial_Figures,Celestial Figures
Heavenly Figures,Celestial Figures
Standing Figures,Standing Figure
Sister,Sisters
Japanese Zen Buddhism,Japanese Zen
Cultural Traditions,Cultural Tradition
Ornate Seat,Ornate Chair
Flowering Plant,Flowering Plants
Cherry_Blossom_Tree,Cherry_Tree
Rowboats,Rowboat
Decoration,Decorations
Murals,Mural
Musical_Instrument,Musical_Instruments
Smaller Birds,Small Birds
Small Bird,Small Birds
Mary Magdalen,Saint Mary Magdalen
Feathered Headdresses,Feathered Headdress
Feather Headdress,Feathered Headdress
Feathered Headgear,Feathered Headdress
Plum Trees,Plum Tree
Stone Structures,Stone Structure
Military Uniforms,Military Uniform
Pigeon,Pigeons
Human,Humans
Melons,Melon
Hunting Dog,Hunting Dogs
Younger_Boy,Young_Boy
Ornate Robe,Ornate Garments
Intricate Robes,Ornate Garments
Arhats,Arhat
East Asian Ink Style,East Asian Ink
Ornate Frames,Ornate Frame
Ornate_Frame,Ornate Frame
Blossoming Tree,Blossoming Trees
Frogs,Frog
Traditional Structure,Traditional Structures
Traditional Buildings,Traditional Structures
Green_Tara,Green Tara
Crucifixion Scenes,Crucifixion Scene
Crucifixion_Scene,Crucifixion Scene
Mother And Child,Woman And Child
Earthy_Colors,Earthy Tones
Mandorlas,Mandorla
Rocky Outcrops,Rocky Outcrop
Plum Branches,Plum_Branch
Floral_Motif,Floral Motifs
Political,Politics
Lotus_Leaf,Lotus_Leaves
Lotus Leaves,Lotus_Leaves
Obelisks,Obelisk
Headwear,Headgear
Turtles,Turtle
St. Andrew,Saint Andrew
Asian Landscape,East Asian Landscape
Sceptre,Scepter
St. Barbara,Saint Barbara
Divine-Play,Divine Play
Roman Soldier,Roman Soldiers
Floors,Floor
Laurel Wreaths,Laurel Wreath
Laurel_Wreath,Laurel Wreath
Nude_Figures,Nude_Figure
Ritual Object,Ceremonial Objects
Ritual Items,Ceremonial Objects
Ritual Implements,Ceremonial Objects
Ritual_Objects,Ceremonial Objects
Catholic Iconography,Religious Iconography
Textured Brushwork,Textured Brushstrokes
Red_Symbols,Red Symbols
Mythological Figures,Mythical Figures
Luohans,Luohan
Background_Figure,Background Figures
Decorative Panel,Decorative Panels
Reclining Figure,Reclining_Figure
Palm Fronds,Palm Frond
Fishing Rods,Fishing Rod
Bees,Bee
Religious Symbols,Religious Symbolism
Vendors,Vendor
St. Matthew,Saint Matthew
Decorated Background,Decorative Background
Decorative Backdrop,Decorative Background
Banquet_Table,Banquet Table
Sailing Ships,Sailing Vessels
Sailing Boats,Sailing Vessels
Herdsmen,Herdsman
St. Christopher,Saint Christopher
Social Roles,Societal Roles
St. John The Evangelist,Saint John The Evangelist
John The Evangelist,Saint John The Evangelist
Cloth Patterns,Fabric Patterns
Textile Patterns,Fabric Patterns
Saint Bernardino Of Siena,Saint Bernardino
Family_Members,Family Members
Europeans,European
Man Vs Nature,Man Versus Nature
Human Vs Nature,Man Versus Nature
Architectural Structure,Architectural Structures
Tortoises,Tortoise
Saint Lucretia,Lucretia
Classical East Asian,Classical Asian
White_Collar,White Collar
Magpie,Magpies
Horse-Drawn Carts,Horse-Drawn Cart
Horse-Drawn_Cart,Horse-Drawn Cart
Horse-Drawn Carriage,Horse-Drawn Cart
Garment Details,Clothing Details
Dress Details,Clothing Details
Lotus_Flower,Lotus_Flowers
Lotus_Blossoms,Lotus_Flowers
Lotus_Blossom,Lotus_Flowers
Chinese_Ink_Painting,Japanese_Ink_Painting
Writing Instruments,Writing Implements
Aureoles,Aureole
Walking_Figures,Walking_Figure
Trompe L’Oeil,Trompe-L'Œil
Colonnades,Colonnade
Shin Hanga,Shin-Hanga
Candleholders,Candleholder
Fine Detailing,Fine Detail
Tassel,Tassels
Reclining Figures,Reclining_Figure
Ink Pots,Ink Pot
Lotus_Thrones,Lotus Throne
Background_Architecture,Background Architecture
Female Figures,Female_Figure
Vase With Flowers,Vase Of Flowers
Garden Paths,Garden Path
Wheelbarrows,Wheelbarrow
Noble Figure,Noble Figures
Buddha Amitābha,Amitabha Buddha
Buddha Amitabha,Amitabha Buddha
Intellectual Pursuits,Intellectual Pursuit
Loincloths,Loincloth
Societal Hierarchy,Social Hierarchy
Traditional Building,Traditional Architecture
Delicate Line Work,Delicate Lines
Figures_On_Horseback,Figures On Horseback
Figure On Horseback,Figures On Horseback
Figures And Horses,Figures On Horseback
Window_View,Window View
Watering_Can,Watering Can
Russian Orthodox Iconography,Russian Iconography
Woman_With_Baby,Woman_With_Child
Flowering Branches,Flowering Branch
Flowering_Branch,Flowering Branch
Ruffled_Collar,Ruffled Collar
Ruffed Collar,Ruffled Collar
Hunting Equipment,Hunting Gear
Good Samaritan,Samaritan
Japanese_Edo_Period,Edo_Period
Decorative Objects,Decorative Items
Small Decorative Items,Decorative Items
Cultural Practice,Cultural Practices
Animal-Human Interaction,Human-Animal Interaction
Human-Wildlife Interaction,Human-Animal Interaction
Human-Animal Relationship,Human-Animal Interaction
Nature Elements,Natural Elements
Ink_And_Color,Ink And Color
Herdboy,Herdboys
Detailed Line Work,Detailed Linework
Detailed Lines,Detailed Linework
East Asian Classical,Classical Asian
Royal Figures,Royal Figure
Red_Dot,Red_Dots
Red Dots,Red_Dots
Stands,Stand
Cultural Norms,Societal Norms
Poultry,Chickens
Manuscript_Tradition,Manuscript Tradition
Japanese Woodblock,Japanese Woodblock Print
Red_Cap,Red Cap
Textile Pattern,Fabric Patterns
Religious Manuscripts,Religious Manuscript
Teachers,Teacher
Eastern Traditional,Traditional Eastern
Checkered Floor,Checkerboard Floor
Head Of Holofernes,Holofernes' Head
Geometric_Shapes,Geometric Shapes
Geometrical Shapes,Geometric Shapes
Ink_Wash_Painting,Ink Wash
Lotus Motif,Lotus Motifs
Aesthetic,Aesthetics
Hair Accessories,Hair Accessory
Wooden Beam,Wooden Beams
Timber Beams,Wooden Beams
Red_Symbol,Red Symbols
Decorative Arches,Decorative Arch
Decorative Archway,Decorative Arch
Ornamental Arch,Decorative Arch
Red Flower,Red Flowers
Mythological_Figures,Mythical Figures
Mythological Figure,Mythical Figures
Ornamental_Borders,Decorative Borders
Ornamental_Border,Decorative Borders
Sea Waves,Ocean Waves
Figures In The Background,Figures In Background
Figure In The Background,Figures In Background
Offering Tables,Offering Table
Offering_Table,Offering Table
Patterned Backdrop,Patterned Background
Log,Logs
Aging Paper,Aged Paper
Quail,Quails
Fig,Figs
Daoist_Immortals,Daoist Immortals
Daoist Immortal,Daoist Immortals
Crabs,Crab
Visitors,Visitor
Social Gatherings,Social Gathering
Camellia,Camellias
Animal-Human Relationship,Human-Animal Interaction
Holy_Men,Holy_Man
Standing_Woman_Child,Standing_Child
Attendant_Figure,Attendant Figures
Attendant_Figures_Top,Attendant Figures
Spiritual_Figures,Spiritual Figures
Hair Adornments,Adornments
A Small Dog,Small Dog
Ganesh,Ganesha
Standing_Men,Standing_Man
Kneeling_Figures,Kneeling Figure
Ornate Thrones,Ornate Throne
Decorative Throne,Ornate Throne
Architectural Settings,Architectural Setting
Architectural_Setting,Architectural Setting
White Flower,White Flowers
Street Lamp,Street Lamps
Lotus_Base,Lotus Base
Red Drapes,Red Drape
Willow_Branch,Willow Branch
Flowering_Branches,Flowering Branch
Infant John The Baptist,Infant Saint John The Baptist
Infant Saint John,Infant Saint John The Baptist
Ornate Decoration,Ornate Decorations
Ornate Decor,Ornate Decorations
Tatami Mats,Tatami Mat
Decorative Flora,Decorative Plants
Golden Halos,Golden Halo
Floral_Background,Floral Background
Floral-Patterned Background,Floral Background
Background Floral Pattern,Floral Background
Text_Blocks,Text_Block
Text Block,Text_Block
Text Blocks,Text_Block
Floral Decorations,Floral Decoration
Flower Decorations,Floral Decoration
Maple_Trees,Maple_Tree
Doge’S Palace,Doge'S Palace
Red_Sash,Red Sash
Tricorne Hat,Tricorn Hat
Wooden Fences,Wooden Fence
Streetlamps,Streetlamp
Dark Skies,Dark Sky
Hanging Art Scroll,Hanging Scroll
Suitor,Suitors
Angelic Figure,Angelic Figures
Decorative Building,Decorative Architecture
Divine Judgement,Divine Judgment
Dragonflies,Dragonfly
Antelope,Antelopes
Sacred_Symbols,Sacred Symbols
Checkered_Floor,Checkerboard Floor
Flattened Forms,Flat Forms
Secondary_Figure,Second_Figure
Second Figure,Second_Figure
Third_Figure,Second_Figure
Two_Figures,Second_Figure
First_Figure,Second_Figure
Soft Light,Soft Lighting
Beetles,Beetle
Stormy Skies,Stormy Sky
Stormy_Sky,Stormy Sky
Soft-Focus,Soft Focus
Carnations,Carnation
Distant Structure,Distant Structures
Tibetan_Buddhist_Art,Tibetan_Art
Rich Palette,Rich Colors
Calligraphic_Characters,Calligraphy_Characters
Mourning_Figures,Mourning Figures
Church Spires,Church Spire
Church_Spire,Church Spire
Sciences,Science
Surrounding Deities,Surrounding_Deities
Lion Statues,Lion Statue
Lion Sculpture,Lion Statue
Bystander,Bystanders
Holy Figure,Holy Figures
Water Reflection,Water Reflections
Deity_Figure,Deity_Figures
Decorative_Architecture,Decorative_Art
Background Curtains,Background Curtain
Heavenly Figure,Celestial Figures
Small_Animal,Small_Dog
Patterned Carpet,Patterned Floor
Willow_Branches,Willow Branches
Mynah Birds,Mynah Bird
Mynah_Bird,Mynah Bird
Mynah,Mynah Bird
Mynah_Birds,Mynah Bird
Mynahs,Mynah Bird
Tile Floor,Tiled Floor
Man_On_Horseback,Man_On_Horse
Ornate Fabric,Ornate Garments
Distant Ship,Distant Ships
Woman With Baby,Woman With Child
Lotus Leaf,Lotus_Leaves
Artist_Self_Portrait,Self_Portrait
Vivid Palette,Vibrant Palette
Woman_In_Blue_Dress,Woman_In_Blue
Scroll Text,Text Scroll
Dramatic Contrasts,Dramatic Contrast
Seats,Seating
Cypress_Tree,Cypress_Trees
Open Doorway,Open Door
Bird Cage,Bird Cages
Lamp Posts,Lamppost
Socialization,Socializing
Battle_Scene,Battle Scene
Tiger_Skin,Tiger Skin
Temple Structure,Temple_Structure
Tirthankara,Tirthankaras
Thames River,River Thames
Sea Life,Marine Life
Red Dot,Red_Dots
Small Plant,Small Plants
Small Flowers,Small Plants
Partridge,Partridges
Floral Vase,Flower Vase
Religious Texts,Religious Text
King Siddhartha,King Siddharta
Torii Gate,Torii_Gate
Torii Gates,Torii_Gate
Red Lines,Red_Lines
Table_With_Objects,Table With Objects
Vertical_Red_Lines,Red Vertical Lines
Mythical_Beast,Mythical_Creatures
Mystical_Creature,Mythical_Creatures
Elderly Figures,Elderly Figure
Older Figure,Elderly Figure
Elderly_Figure,Elderly Figure
Red_Accents,Red Accents
Small Figures,Smaller Figures
Smaller Figure,Smaller Figures
Gold Leaf Background,Gold-Leaf Background
Background Gold Leaf,Gold-Leaf Background
Scientific Equipment,Scientific Instruments
Distant_Figure,Distant Figures
Painting Tool,Painting Tools
Blue-Skinned Figures,Blue-Skinned Figure
Geometric_Pattern,Geometric Patterns
Flemish Still Life,Dutch Still Life
Sailing Boat,Sailing Vessels
Buddhist Figure,Buddhist Figures
Floral_Elements,Floral Elements
Lotus_Pond,Lotus Pond
Fallen Trees,Fallen Tree
Pine Branch,Pine_Branch
Pine_Branches,Pine_Branch
Water Buffaloes,Water Buffalo
Gold Backdrop,Golden Backdrop
Archangel Michael,Archangel Gabriel
Peafowls,Peafowl
Gold Arch,Golden Arch
Distant_Town,Distant Town
Black_Lines,Black Lines
Symbolic_Patterns,Symbolic Patterns
Daoist_Immortal,Daoist Immortals
Matadors,Matador
Sitting_Women,Seated_Woman
Small Figure,Smaller Figures
Text Inscription,Text Inscriptions
Floor Pattern,Floor Patterns
Elderly_Figures,Elderly Figure
Kabuki_Actor,Kabuki Actor
Nature Vs Humanity,Man Versus Nature
Radishes,Radish
Fishing_Boat,Fishing_Boats
Fishing_Vessels,Fishing_Boats
Fly-Whisk,Fly Whisk
Wagon,Wagons
Flowing_River,Flowing_Water
Artworks On Walls,Paintings On Walls
Footman,Footmen
Arched Window,Arched Windows
Gold Frame,Golden Frame
Music_Stand,Music Stand
Prunus Branch,Prunus_Branch
Red_Sun,Red Sun
St. Mark’S Basilica,St. Mark'S Basilica
Decorated Canopy,Decorative Canopy
Woman_In_Red,Woman_In_Red_Dress
Woman In Red Dress,Woman_In_Red_Dress
Human And Nature,Man And Nature
Pink Flowers,Pink Flower
Mountain Peaks,Mountain_Peaks
Female_Allegorical_Figure,Allegorical_Figure
Peacock Feathers,Peacock Feather
Flowering_Plant,Flowering_Plants
St. Lawrence,Saint Lawrence
Gold_Highlights,Gold Highlights
Sailing_Ships,Sailing_Ship
Fur-Lined Collar,Fur-Lined Coat
Robe Pattern,Robe Patterns
Oar,Oars
Fish Net,Fishing Net
Left_Woman,Woman_Left
Landscape_View,Landscape View
Golden_Clouds,Golden Clouds
Women_In_Red,Woman_In_Red_Dress
Lady_In_Red,Woman_In_Red_Dress
Predator And Prey,Predator-Prey
Mythical Beast,Mythical Creatures
Wall Decorations,Wall Decor
Black Dress,Dark Dress
Tiny Figure,Smaller Figures
Flower_Baskets,Flower_Basket
Formal Portraiture,Formal Portrait
Court_Ladies,Court_Lady
Christ'S Birth,Birth Of Christ
Red_Circular_Motif,Red Circular Motifs
Red Circle Motifs,Red Circular Motifs
Red_Circle_Motifs,Red Circular Motifs
Wrathful Deities,Wrathful Deity
White Gown,White Dress
Lotus_Pedestals,Lotus Pedestal
Native Representation,Indigenous Representation
Artistic Pursuits,Artistic Pursuit
Rocky_Formations,Rocky_Formation
Social Values,Societal Values
Ornamental Backdrop,Ornate Background
Left_Attendant,Left Attendant
Supporting Figure,Supporting Figures
Buddha Amoghasiddhi,Amoghasiddhi
Jizō Bodhisattva,Bodhisattva Jizō
Richly Colored Garments,Colorful Garments
Cherry Trees,Cherry Tree
Amitābha Buddha,Amitabha Buddha
Intricate Garments,Ornate Garments
Working-Class,Working Class
Figure With Staff,Figure_With_Staff
Aizen_Myōō,Aizen Myōō
Decorated Throne,Ornate Throne
Right_Attendant,Right Attendant
Hydrangea,Hydrangeas
Blooming Branches,Blossoming_Branches
Flowing Robes,Flowing Robe
Winds,Wind
Cultural Customs,Cultural Tradition
Red Marks,Red_Marks
Red Circular Symbols,Red_Circular_Symbols
Red_Circle_Symbol,Red_Circular_Symbols
Spiritual Reverence,Divine Reverence
Nature Motifs,Natural Motifs
Thatched_Huts,Thatched_Hut
Thatched Hut,Thatched_Hut
Thatched_House,Thatched_Hut
White_Flowers,White_Flower
Folding Fan,Folding_Fan
Historical Encounters,Historical Encounter
King_Of_Hell,Kings_Of_Hell
Noh Theater,Noh Theatre
Divine Vision,Divine Visions
Rocky Surface,Rocky_Surface
Cormorants,Cormorant
Cultural Narrative,Cultural Narratives
Maharana Sangram Singh Ii,Maharana Sangram Singh
Double_Leaf_Door,Double_Leaf_Doors
Double-Leaf Doors,Double_Leaf_Doors
Maharana Jagat Singh,Maharana Jagat Singh Ii
Manuscript Leaf,Manuscript_Leaf
Circular Frames,Circular Frame
Textile Design,Textile Designs
Horse Rider,Horse Riders
Flowering Trees,Flowering Tree
Decorative Details,Ornamental Details
Ornamental_Details,Ornamental Details
Celestial_Figure,Celestial Figures
Spiritual Symbols,Spiritual Symbolism
Geometric_Borders,Geometric Borders
Additional Figures,Additional_Figures
Decorative Boxes,Decorative Box
Narrative_Scenes,Narrative Scenes
Spiritual-Love,Spiritual Love
Worshipers,Worshippers
Decorative_Lines,Decorative Lines
Ornate Accessories,Ornate Jewelry
Krishna And Radha,Radha And Krishna
Edo Japan,Japanese Edo
Floor Mat,Floor Mats
Insignificance,Human Insignificance
Winding Path,Winding Paths
Milkmaid,Milkmaids
Japanese Aesthetic,Japanese Aesthetics
Chinese_Classical_Art,Chinese_Classical
Classical Columns,Classical Column
Brother,Brothers
Robed Figures,Robed Figure
Sea Horses,Sea Horse
Pink_Flowers,Pink_Flower
Peasant_Girl,Peasant_Woman
King Dasaratha,King Dasharatha
Blonde Lady,Blond Lady
Banana Leaf,Banana Leaves
Picture Frames,Picture Frame
Photo Frame,Picture Frame
Flower_Garland,Flower Garland
Background Flora,Background Foliage
Talismans,Talisman
Religious_Figures,Religious Figures
Nature_Elements,Natural Elements
Feather_Quill,Feather Quill
Traditional_Korean_Art,Traditional_Art
Virgin Mary And Child,Virgin Mary And Christ Child
Abstract_Forms,Abstract Forms
Background Mountains,Background Mountain
Flemish Primitive,Flemish Primitives
Woodcutter,Woodcutters
Luminous Color,Luminous Colors
