index,tag,type,tag_replaced,replaced_flag
11,Subdued Palette,style_tags,Subdued Palette,True
12,Baroque,style_tags,Baroque,True
12,Realism,style_tags,Realism,True
12,Chiaroscuro,style_tags,Chiaroscuro,True
12,Dramatic,style_tags,Dramatic,True
12,Loose Brushwork,style_tags,Loose Brushwork,True
13,Portraiture,style_tags,Portraiture,True
13,Naturalism,style_tags,Naturalism,True
13,Realistic,style_tags,Realistic,True
13,Chiaroscuro,style_tags,Chiaroscuro,True
14,Mannerism,style_tags,Mannerism,True
14,Dramatic Lighting,style_tags,Dramatic Lighting,True
14,Vibrant Colors,style_tags,Vibrant Colors,True
14,Elongated Figures,style_tags,Elongated Figures,True
14,Textural Detail,style_tags,Textural Detail,True
15,Mannerism,style_tags,Mannerism,True
15,Dramatic,style_tags,Dramatic,True
15,Emotive,style_tags,Emotive,True
15,Spiritual,style_tags,Spiritual,True
16,Portraiture,style_tags,Portraiture,True
16,Realism,style_tags,Realism,True
16,Soft Brushwork,style_tags,Soft Brushwork,True
16,British,style_tags,British,True
17,Portraiture,style_tags,Portraiture,True
17,Soft Brushwork,style_tags,Soft Brushwork,True
17,Subtle Lighting,style_tags,Subtle Lighting,True
17,Muted Palette,style_tags,Muted Palette,True
18,Loose Brushstrokes,style_tags,Loose Brushstrokes,True
18,Earthy Tones,style_tags,Earthy Tones,True
18,Movement,style_tags,Movement,True
18,Light And Shadow,style_tags,Light And Shadow,True
19,Early Renaissance,style_tags,Early Renaissance,True
19,Naturalism,style_tags,Naturalism,True
19,Humanism,style_tags,Humanism,True
19,Detail Oriented,style_tags,Detail Oriented,True
19,Realism,style_tags,Realism,True
19,Perspective,style_tags,Perspective,True
20,High Renaissance,style_tags,High Renaissance,True
20,Detail-Oriented,style_tags,Detail-Oriented,True
20,Balanced Composition,style_tags,Balanced Composition,True
20,Harmonious Color,style_tags,Harmonious Color Palette,False
20,Realism,style_tags,Realism,True
20,Mannerism,style_tags,Mannerism,True
21,High Renaissance,style_tags,High Renaissance,True
21,Naturalism,style_tags,Naturalism,True
21,Anatomy,style_tags,Anatomy,True
21,Idealized,style_tags,Idealized,True
21,Perspective,style_tags,Perspective,True
22,Mannerism,style_tags,Mannerism,True
22,Renaissance,style_tags,Renaissance,True
22,Religious,style_tags,Religious,True
22,Dramatic Lighting,style_tags,Dramatic Lighting,True
22,Vibrant Colors,style_tags,Vibrant Colors,True
22,Ethereal,style_tags,Ethereal,True
22,Sublime,style_tags,Sublime,True
23,Mannerism,style_tags,Mannerism,True
23,Renaissance,style_tags,Renaissance,True
23,Elongated Figures,style_tags,Elongated Figures,True
23,Vibrant Colors,style_tags,Vibrant Colors,True
23,Detailed,style_tags,Detailed,True
23,Elegant,style_tags,Elegant,True
24,Neoclassical,style_tags,Neoclassical,True
24,Formal,style_tags,Formal,True
24,Elegant,style_tags,Elegant,True
24,Realism,style_tags,Realism,True
24,Portrait,style_tags,Portrait,True
25,Neoclassicism,style_tags,Neoclassicism,True
25,Realism,style_tags,Realism,True
25,Portrait,style_tags,Portrait,True
25,Naturalistic,style_tags,Naturalistic,True
25,Detail,style_tags,Detail,True
25,Formality,style_tags,Formality,True
25,Lighting,style_tags,Lighting,True
26,American,style_tags,American,True
26,Portraiture,style_tags,Portraiture,True
26,Realism,style_tags,Realism,True
26,Elegance,style_tags,Elegance,True
26,Fine Detail,style_tags,Fine Detail,True
26,Soft Lighting,style_tags,Soft Lighting,True
27,Realism,style_tags,Realism,True
27,Colonial American,style_tags,Colonial American,True
27,Portraiture,style_tags,Portraiture,True
27,Chiaroscuro,style_tags,Chiaroscuro,True
28,Romanticism,style_tags,Romanticism,True
28,Naturalism,style_tags,Naturalism,True
28,Impressionism,style_tags,Impressionism,True
28,Loose Brushwork,style_tags,Loose Brushwork,True
28,Dynamic Brushstrokes,style_tags,Dynamic Brushwork,False
28,Vivid,style_tags,Vivid,True
28,Emotive,style_tags,Emotive,True
28,Idyllic,style_tags,Idyllic,True
28,Landscape,style_tags,Landscape,True
29,Romanticism,style_tags,Romanticism,True
29,Naturalism,style_tags,Naturalism,True
29,Pastoral,style_tags,Pastoral,True
29,Landscape,style_tags,Landscape,True
30,Dutch Golden Age,style_tags,Dutch Golden Age,True
30,Naturalism,style_tags,Naturalism,True
30,Fine Brushwork,style_tags,Fine Brushwork,True
30,Pastoral,style_tags,Pastoral,True
30,Lighting,style_tags,Lighting,True
30,Perspective,style_tags,Perspective,True
30,Atmospheric,style_tags,Atmospheric,True
30,Tranquility,style_tags,Tranquility,True
31,Northern Renaissance,style_tags,Northern Renaissance,True
31,Realism,style_tags,Realism,True
31,Detail Oriented,style_tags,Detail Oriented,True
31,Oil,style_tags,Oil,True
31,Flemish,style_tags,Flemish,True
31,Textural,style_tags,Textural,True
32,Portraiture,style_tags,Portraiture,True
32,Realism,style_tags,Realism,True
32,Rococo,style_tags,Rococo,True
33,Rococo,style_tags,Rococo,True
33,Romanticism,style_tags,Romanticism,True
33,Ethereal,style_tags,Ethereal,True
33,Soft Brushwork,style_tags,Soft Brushwork,True
33,Elegance,style_tags,Elegance,True
33,Naturalism,style_tags,Naturalism,True
33,Portraiture,style_tags,Portraiture,True
34,Loose Brushwork,style_tags,Loose Brushwork,True
34,Depth,style_tags,Depth,True
34,Character Portrayal,style_tags,Character Portrayal,True
34,Baroque,style_tags,Baroque,True
34,Light And Shadow,style_tags,Light And Shadow,True
34,Dutch Golden Age,style_tags,Dutch Golden Age,True
35,Romanticism,style_tags,Romanticism,True
35,Naturalism,style_tags,Naturalism,True
35,Soft Brushstrokes,style_tags,Soft Brushstrokes,True
35,Warm Palette,style_tags,Warm Palette,True
35,Emotive,style_tags,Emotive,True
36,Early Renaissance,style_tags,Early Renaissance,True
36,Religious,style_tags,Religious,True
36,Realism,style_tags,Realism,True
36,Gold Leaf,style_tags,Gold Leaf,True
36,Depth,style_tags,Depth,True
36,Fine Brushwork,style_tags,Fine Brushwork,True
36,Naturalism,style_tags,Naturalism,True
36,Symbolic,style_tags,Symbolic,True
37,Romantic,style_tags,Romantic,True
37,British Portraiture,style_tags,British Portraiture,True
37,Soft Lighting,style_tags,Soft Lighting,True
37,Expressive Brushwork,style_tags,Expressive Brushwork,True
37,Intimate,style_tags,Intimate,True
38,Chiaroscuro,style_tags,Chiaroscuro,True
38,Expressive,style_tags,Expressive,True
38,Loose Brushwork,style_tags,Loose Brushwork,True
38,Psychological,style_tags,Psychological,True
38,Dramatic Lighting,style_tags,Dramatic Lighting,True
39,Baroque,style_tags,Baroque,True
39,Chiaroscuro,style_tags,Chiaroscuro,True
39,Realism,style_tags,Realism,True
39,Dutch Golden Age,style_tags,Dutch Golden Age,True
39,Loose Brushwork,style_tags,Loose Brushwork,True
39,Dramatic Lighting,style_tags,Dramatic Lighting,True
40,Naturalistic,style_tags,Naturalistic,True
40,Chiaroscuro,style_tags,Chiaroscuro,True
40,Baroque,style_tags,Baroque,True
40,Portrait,style_tags,Portrait,True
40,Realism,style_tags,Realism,True
40,Loose Brushwork,style_tags,Loose Brushwork,True
41,Realism,style_tags,Realism,True
41,Chiaroscuro,style_tags,Chiaroscuro,True
41,Oil,style_tags,Oil,True
41,Emotional Expression,style_tags,Emotional Expression,True
42,Portraiture,style_tags,Portraiture,True
42,Chiaroscuro,style_tags,Chiaroscuro,True
42,Rococo,style_tags,Rococo,True
42,Rich Coloration,style_tags,Rich Coloration,True
43,High Renaissance,style_tags,High Renaissance,True
43,Portraiture,style_tags,Portraiture,True
43,Oil,style_tags,Oil,True
43,Realism,style_tags,Realism,True
44,High Renaissance,style_tags,High Renaissance,True
44,Naturalism,style_tags,Naturalism,True
44,Chiaroscuro,style_tags,Chiaroscuro,True
44,Harmony,style_tags,Harmony,True
44,Drapery,style_tags,Drapery,True
44,Elegance,style_tags,Elegance,True
44,Classical,style_tags,Classical,True
45,Baroque,style_tags,Baroque,True
45,Dramatic Lighting,style_tags,Dramatic Lighting,True
45,Sfumato,style_tags,Sfumato,True
45,Dynamic,style_tags,Dynamic,True
45,Expressive,style_tags,Expressive,True
45,Ethereal,style_tags,Ethereal,True
46,Baroque,style_tags,Baroque,True
46,Naturalism,style_tags,Naturalism,True
46,Chiaroscuro,style_tags,Chiaroscuro,True
46,Portraiture,style_tags,Portraiture,True
46,Realism,style_tags,Realism,True
46,Subdued Palette,style_tags,Subdued Palette,True
47,Baroque,style_tags,Baroque,True
47,Realism,style_tags,Realism,True
47,Portrait,style_tags,Portrait,True
47,Contrast,style_tags,Contrast,True
47,Dramatic,style_tags,Dramatic,True
47,Mood,style_tags,Mood,True
47,Fluid Brushstrokes,style_tags,Fluid Brushwork,False
47,Naturalism,style_tags,Naturalism,True
48,Baroque,style_tags,Baroque,True
48,Realism,style_tags,Realism,True
48,Portraiture,style_tags,Portraiture,True
48,Chiaroscuro,style_tags,Chiaroscuro,True
49,Rococo,style_tags,Rococo,True
49,Baroque,style_tags,Baroque,True
49,Decorative,style_tags,Decorative,True
49,Chiaroscuro,style_tags,Chiaroscuro,True
49,Vivid Colors,style_tags,Vivid Colors,True
49,Elegance,style_tags,Elegance,True
49,Ornate,style_tags,Ornate,True
49,Dynamic Composition,style_tags,Dynamic Composition,True
50,Realism,style_tags,Realism,True
50,Neoclassicism,style_tags,Neoclassicism,True
50,Detail-Oriented,style_tags,Detail-Oriented,True
50,Soft Lighting,style_tags,Soft Lighting,True
50,Textural,style_tags,Textural,True
50,Subtle Colors,style_tags,Subtle Lighting,False
50,Serene,style_tags,Serene,True
51,Impressionism,style_tags,Impressionism,True
51,Loose Brushwork,style_tags,Loose Brushwork,True
51,Muted Tones,style_tags,Muted Tones,True
51,Play Of Light,style_tags,Play Of Light,True
52,Rococo,style_tags,Rococo,True
52,Pastel Colors,style_tags,Pastel Colors,True
52,Elegant,style_tags,Elegant,True
52,Ornamentation,style_tags,Ornamentation,True
52,Aristocratic,style_tags,Aristocratic,True
53,Rococo,style_tags,Rococo,True
53,Realism,style_tags,Realism,True
53,Portraiture,style_tags,Portraiture,True
53,French,style_tags,French,True
53,Soft Lighting,style_tags,Soft Lighting,True
53,Elegance,style_tags,Elegance,True
54,Rococo,style_tags,Rococo,True
54,French,style_tags,French,True
54,Theatrical,style_tags,Theatrical,True
54,Ornate,style_tags,Ornate,True
54,Decorative,style_tags,Decorative,True
54,Shadow,style_tags,Shadow,True
54,Pastel,style_tags,Pastel,True
54,Dynamic Brushwork,style_tags,Dynamic Brushwork,True
55,Naturalistic,style_tags,Naturalistic,True
55,Realism,style_tags,Realism,True
55,Subtle Lighting,style_tags,Subtle Lighting,True
55,Earthy Tones,style_tags,Earthy Tones,True
55,Detailed,style_tags,Detailed,True
55,Perspective,style_tags,Perspective,True
56,Romantic,style_tags,Romantic,True
56,Realism,style_tags,Realism,True
56,Portraiture,style_tags,Portraiture,True
56,Fine Detail,style_tags,Fine Detail,True
56,Muted Tones,style_tags,Muted Tones,True
57,High Renaissance,style_tags,High Renaissance,True
57,Chiaroscuro,style_tags,Chiaroscuro,True
57,Realism,style_tags,Realism,True
57,Portrait,style_tags,Portrait,True
57,Detailed Textures,style_tags,Detailed Textures,True
57,Balanced Composition,style_tags,Balanced Composition,True
58,Impressionism,style_tags,Impressionism,True
58,Atmospheric,style_tags,Atmospheric,True
58,Earthy Tones,style_tags,Earthy Tones,True
59,Northern Renaissance,style_tags,Northern Renaissance,True
59,Naturalism,style_tags,Naturalism,True
59,Realism,style_tags,Realism,True
59,Oil,style_tags,Oil,True
60,Baroque,style_tags,Baroque,True
60,Chiaroscuro,style_tags,Chiaroscuro,True
60,Dynamic,style_tags,Dynamic,True
60,Rich Colors,style_tags,Rich Colors,True
60,Emotional,style_tags,Emotional,True
60,Contrast,style_tags,Contrast,True
61,American Realism,style_tags,American Realism,True
61,Impressionism,style_tags,Impressionism,True
61,Chiaroscuro,style_tags,Chiaroscuro,True
61,Expressive,style_tags,Expressive,True
61,Portraiture,style_tags,Portraiture,True
61,Loose Brushwork,style_tags,Loose Brushwork,True
62,Realism,style_tags,Realism,True
62,Portrait,style_tags,Portrait,True
62,Oil,style_tags,Oil,True
62,American,style_tags,American,True
63,American Portraiture,style_tags,American Portraiture,True
63,Realism,style_tags,Realism,True
63,Chiaroscuro,style_tags,Chiaroscuro,True
63,Formal Composition,style_tags,Formal Composition,True
64,Realism,style_tags,Realism,True
64,Fine Detail,style_tags,Fine Detail,True
64,Portrait,style_tags,Portrait,True
64,Naturalistic,style_tags,Naturalistic,True
65,Naive,style_tags,Naive,True
65,Folk,style_tags,Folk,True
65,Americana,style_tags,Americana,True
66,Historical,style_tags,Historical,True
66,Folk,style_tags,Folk,True
66,Naive,style_tags,Naive,True
66,Narrative,style_tags,Narrative,True
66,Dramatic,style_tags,Dramatic,True
66,Colorful,style_tags,Colorful,True
67,Rococo,style_tags,Rococo,True
67,French,style_tags,French,True
67,Intimacy,style_tags,Intimacy,True
67,Elegance,style_tags,Elegance,True
67,Soft Colors,style_tags,Soft Colors,True
67,Loose Brushwork,style_tags,Loose Brushwork,True
68,Portraiture,style_tags,Portraiture,True
68,Realism,style_tags,Realism,True
68,Fine Brushwork,style_tags,Fine Brushwork,True
68,Chiaroscuro,style_tags,Chiaroscuro,True
69,Neoclassical,style_tags,Neoclassical,True
69,Detailed,style_tags,Detailed,True
69,Elegant,style_tags,Elegant,True
69,Formal,style_tags,Formal,True
69,Smooth Brushwork,style_tags,Smooth Brushwork,True
70,Rococo,style_tags,Rococo,True
70,Ethereal,style_tags,Ethereal,True
70,Fluid Brushwork,style_tags,Fluid Brushwork,True
70,Soft Colors,style_tags,Soft Colors,True
70,Graceful,style_tags,Graceful,True
70,Decorative,style_tags,Decorative,True
71,Baroque,style_tags,Baroque,True
71,Chiaroscuro,style_tags,Chiaroscuro,True
71,Realism,style_tags,Realism,True
71,Dynamism,style_tags,Dynamism,True
71,Drama,style_tags,Drama,True
71,Naturalism,style_tags,Naturalism,True
72,Renaissance,style_tags,Renaissance,True
72,Portrait,style_tags,Portrait,True
72,Realism,style_tags,Realism,True
74,Baroque,style_tags,Baroque,True
74,Realism,style_tags,Realism,True
74,Still Life,style_tags,Still Life,True
74,Chiaroscuro,style_tags,Chiaroscuro,True
75,Tonalism,style_tags,Tonalism,True
75,Atmospheric,style_tags,Atmospheric,True
75,Impressionism,style_tags,Impressionism,True
75,Landscape,style_tags,Landscape,True
75,Nature,style_tags,Nature,True
75,Serene,style_tags,Serene,True
76,Realism,style_tags,Realism,True
76,Portraiture,style_tags,Portraiture,True
76,Romanticism,style_tags,Romanticism,True
76,Light And Shadow,style_tags,Light And Shadow,True
77,Realism,style_tags,Realism,True
77,Impressionism,style_tags,Impressionism,True
77,Portrait,style_tags,Portrait,True
77,Depth,style_tags,Depth,True
78,Chiaroscuro,style_tags,Chiaroscuro,True
78,Realism,style_tags,Realism,True
78,Fine Detail,style_tags,Fine Detail,True
78,Dramatic,style_tags,Dramatic,True
78,Subdued Color Palette,style_tags,Subdued Color Palette,True
78,Portrait,style_tags,Portrait,True
79,Romanticism,style_tags,Romanticism,True
79,Realism,style_tags,Realism,True
79,Chiaroscuro,style_tags,Chiaroscuro,True
79,Emotive,style_tags,Emotive,True
80,Realism,style_tags,Realism,True
80,Portrait,style_tags,Portrait,True
80,Academic,style_tags,Academic,True
80,Classical,style_tags,Classical,True
80,Atmospheric,style_tags,Atmospheric,True
81,Realism,style_tags,Realism,True
81,Loose Brushwork,style_tags,Loose Brushwork,True
81,Earthy Palette,style_tags,Earthy Palette,True
81,Expressive,style_tags,Expressive,True
81,Naturalism,style_tags,Naturalism,True
82,Expressionism,style_tags,Expressionism,True
82,Modernism,style_tags,Modernism,True
82,Portraiture,style_tags,Portraiture,True
82,Subdued Palette,style_tags,Subdued Palette,True
82,Minimalist,style_tags,Minimalistic,False
83,Modern,style_tags,Modern,True
83,European,style_tags,European,True
83,Expressive,style_tags,Expressive,True
83,Portraiture,style_tags,Portraiture,True
83,Visible Brushstrokes,style_tags,Visible Brushstrokes,True
83,Muted Palette,style_tags,Muted Palette,True
84,Impressionism,style_tags,Impressionism,True
84,Loose Brushwork,style_tags,Loose Brushwork,True
84,Spontaneity,style_tags,Spontaneity,True
84,Color Harmonies,style_tags,Color Harmony,False
85,Realism,style_tags,Realism,True
85,Chiaroscuro,style_tags,Chiaroscuro,True
85,Impressionism,style_tags,Impressionism,True
86,Impressionism,style_tags,Impressionism,True
86,Still Life,style_tags,Still Life,True
86,Expressive Brushstrokes,style_tags,Expressive Brushstrokes,True
86,Naturalism,style_tags,Naturalism,True
87,Post-Impressionism,style_tags,Post-Impressionism,True
87,Expressive,style_tags,Expressive,True
87,Loose Brushwork,style_tags,Loose Brushwork,True
87,Dynamic,style_tags,Dynamic,True
87,Form,style_tags,Form,True
88,Post-Impressionism,style_tags,Post-Impressionism,True
88,Expressive,style_tags,Expressive,True
88,Form,style_tags,Form,True
89,Realism,style_tags,Realism,True
89,Impressionism,style_tags,Impressionism,True
89,Traditional,style_tags,Traditional,True
89,Muted Colors,style_tags,Muted Colors,True
89,Detailed,style_tags,Detailed,True
90,Impressionism,style_tags,Impressionism,True
90,Portraiture,style_tags,Portraiture,True
90,Light And Shadow,style_tags,Light And Shadow,True
91,Post-Impressionism,style_tags,Post-Impressionism,True
91,Expressive Brushstrokes,style_tags,Expressive Brushstrokes,True
91,Vibrant Colors,style_tags,Vibrant Colors,True
91,Emotional Depth,style_tags,Emotional Depth,True
92,Neoclassicism,style_tags,Neoclassicism,True
92,Romanticism,style_tags,Romanticism,True
92,Realism,style_tags,Realism,True
93,Impressionism,style_tags,Impressionism,True
93,Loose Brushwork,style_tags,Loose Brushwork,True
93,Vibrant Color Palette,style_tags,Vibrant Color Palette,True
93,Light And Shadow,style_tags,Light And Shadow,True
93,Modern Life,style_tags,Modern Life,True
93,Atmospheric,style_tags,Atmospheric,True
94,Muted Tones,style_tags,Muted Tones,True
94,Expressive,style_tags,Expressive,True
95,Impressionism,style_tags,Impressionism,True
95,Landscape,style_tags,Landscape,True
95,Naturalism,style_tags,Naturalism,True
95,Loose Brushwork,style_tags,Loose Brushwork,True
95,Luminosity,style_tags,Luminosity,True
96,Symbolism,style_tags,Symbolism,True
96,Expressionism,style_tags,Expressionism,True
96,Colorful,style_tags,Colorful,True
96,Abstract,style_tags,Abstract,True
96,Pastel Tones,style_tags,Pastel Tones,True
96,Loose Brushwork,style_tags,Loose Brushwork,True
97,Naturalistic,style_tags,Naturalistic,True
97,Realistic,style_tags,Realistic,True
97,Portrait,style_tags,Portrait,True
97,American Colonial,style_tags,American Colonial,True
98,American Impressionism,style_tags,American Impressionism,True
98,Subtle,style_tags,Subtle,True
98,Muted Palette,style_tags,Muted Palette,True
98,Harmonious,style_tags,Harmonious,True
98,Tranquil,style_tags,Tranquil,True
99,Early Netherlandish,style_tags,Early Netherlandish,True
99,Realism,style_tags,Realism,True
99,Detailed,style_tags,Detailed,True
99,Naturalistic,style_tags,Naturalistic,True
99,Fine Brushwork,style_tags,Fine Brushwork,True
100,Baroque,style_tags,Baroque,True
100,Realism,style_tags,Realism,True
100,Portraiture,style_tags,Portraiture,True
101,Impressionism,style_tags,Impressionism,True
101,Loose Brushwork,style_tags,Loose Brushwork,True
101,Subtle Color Palette,style_tags,Subtle Color Palette,True
101,Natural Light,style_tags,Natural Light,True
101,Atmospheric,style_tags,Atmospheric,True
101,Daily Life,style_tags,Daily Life,True
102,Impressionism,style_tags,Impressionism,True
102,Natural Lighting,style_tags,Natural Light,False
102,Loose Brushstrokes,style_tags,Loose Brushstrokes,True
102,Ordinary Life,style_tags,Ordinary Life,True
102,Atmospheric,style_tags,Atmospheric,True
103,Realism,style_tags,Realism,True
103,Impressionism,style_tags,Impressionism,True
103,Urban Scene,style_tags,Urban Scene,True
103,Cityscape,style_tags,Cityscape,True
103,Soft Brushstrokes,style_tags,Soft Brushstrokes,True
104,Impressionism,style_tags,Impressionism,True
104,Loose Brushwork,style_tags,Loose Brushwork,True
104,Muted Palette,style_tags,Muted Palette,True
104,Light Effects,style_tags,Light Effects,True
105,Impressionism,style_tags,Impressionism,True
105,Visible Brushstrokes,style_tags,Visible Brushstrokes,True
105,Perception,style_tags,Perception,True
105,Landscape,style_tags,Landscape,True
105,Maritime,style_tags,Maritime,True
106,Impressionism,style_tags,Impressionism,True
106,Loose Brushstrokes,style_tags,Loose Brushstrokes,True
106,En Plein Air,style_tags,Plein Air,False
107,Impressionism,style_tags,Impressionism,True
107,Loose Brushstrokes,style_tags,Loose Brushstrokes,True
107,Reflections,style_tags,Reflections,True
107,Outdoors,style_tags,Outdoor,False
107,Nature,style_tags,Nature,True
108,Impressionism,style_tags,Impressionism,True
108,Visible Brushstrokes,style_tags,Visible Brushstrokes,True
108,Colorful,style_tags,Colorful,True
108,Vibrant,style_tags,Vibrant,True
109,Post-Impressionism,style_tags,Post-Impressionism,True
109,Symbolism,style_tags,Symbolism,True
109,Expressive,style_tags,Expressive,True
109,Colorful,style_tags,Colorful,True
109,Emotional,style_tags,Emotional,True
109,Atmospheric,style_tags,Atmospheric,True
110,Post-Impressionism,style_tags,Post-Impressionism,True
110,Thick Brushstrokes,style_tags,Thick Brushstrokes,True
110,Dynamic,style_tags,Dynamic,True
110,Impasto,style_tags,Impasto,True
111,Post-Impressionism,style_tags,Post-Impressionism,True
111,Expressionism,style_tags,Expressionism,True
111,Emotion,style_tags,Emotion,True
112,Post-Impressionism,style_tags,Post-Impressionism,True
112,Decorative,style_tags,Decorative,True
112,Interior Scene,style_tags,Interior Scene,True
113,Rococo,style_tags,Rococo,True
113,Neoclassical,style_tags,Neoclassical,True
113,Oil,style_tags,Oil,True
113,Portraiture,style_tags,Portraiture,True
113,French,style_tags,French,True
113,Naturalism,style_tags,Naturalism,True
113,Subdued Palette,style_tags,Subdued Palette,True
113,Fine Detailing,style_tags,Fine Detail,False
114,Impressionism,style_tags,Impressionism,True
114,Loose Brushwork,style_tags,Loose Brushwork,True
114,Bright Palette,style_tags,Vibrant Palette,False
114,Atmospheric,style_tags,Atmospheric,True
115,Portraiture,style_tags,Portraiture,True
115,Realism,style_tags,Realism,True
115,Fine Detail,style_tags,Fine Detail,True
115,Traditional,style_tags,Traditional,True
116,Post-Impressionism,style_tags,Post-Impressionism,True
116,Loose Brushwork,style_tags,Loose Brushwork,True
116,Reflections,style_tags,Reflections,True
117,Detail,style_tags,Detail,True
117,Flatness,style_tags,Flatness,True
117,Form,style_tags,Form,True
117,Volume,style_tags,Volume,True
117,Naturalism,style_tags,Naturalism,True
118,Impressionism,style_tags,Impressionism,True
118,Loose Brushwork,style_tags,Loose Brushwork,True
118,Natural Light,style_tags,Natural Light,True
119,Post-Impressionism,style_tags,Post-Impressionism,True
119,Bold Color,style_tags,Bold Color,True
119,Expressive,style_tags,Expressive,True
120,Impressionism,style_tags,Impressionism,True
120,Loose Brushwork,style_tags,Loose Brushwork,True
120,Play Of Light,style_tags,Play Of Light,True
120,Colorful,style_tags,Colorful,True
120,Spontaneity,style_tags,Spontaneity,True
120,Ephemeral,style_tags,Ephemeral,True
121,Impressionism,style_tags,Impressionism,True
121,Loose Brushwork,style_tags,Loose Brushwork,True
121,Light Effects,style_tags,Light Effects,True
121,Naturalistic,style_tags,Naturalistic,True
122,Naturalistic,style_tags,Naturalistic,True
122,Loose Brushwork,style_tags,Loose Brushwork,True
122,Impressionism,style_tags,Impressionism,True
122,Atmospheric,style_tags,Atmospheric,True
122,Dynamic Composition,style_tags,Dynamic Composition,True
123,Post-Impressionism,style_tags,Post-Impressionism,True
123,Loose Brushstrokes,style_tags,Loose Brushstrokes,True
123,Bold Color,style_tags,Bold Color,True
124,Realism,style_tags,Realism,True
124,Figurative,style_tags,Figurative,True
124,Expressive Brushwork,style_tags,Expressive Brushwork,True
125,Realism,style_tags,Realism,True
125,Naturalism,style_tags,Naturalism,True
125,Figurative,style_tags,Figurative,True
125,Detail,style_tags,Detail,True
125,Everyday Life,style_tags,Everyday Life,True
126,Impressionism,style_tags,Impressionism,True
126,Naturalism,style_tags,Naturalism,True
126,Loose Brushwork,style_tags,Loose Brushwork,True
126,Atmosphere,style_tags,Atmosphere,True
127,Impressionism,style_tags,Impressionism,True
127,Loose Brushwork,style_tags,Loose Brushwork,True
127,Luminous,style_tags,Luminous,True
127,Light Effects,style_tags,Light Effects,True
127,Delicate Brushstrokes,style_tags,Delicate Brushwork,False
127,Vibrancy,style_tags,Vibrancy,True
127,Natural Light,style_tags,Natural Light,True
127,Atmospheric,style_tags,Atmospheric,True
128,Impressionism,style_tags,Impressionism,True
128,Loose Brushwork,style_tags,Loose Brushwork,True
128,Light Effects,style_tags,Light Effects,True
129,Realism,style_tags,Realism,True
129,Portraiture,style_tags,Portraiture,True
129,Classical,style_tags,Classical,True
129,Smooth Brushwork,style_tags,Smooth Brushwork,True
129,Balanced Composition,style_tags,Balanced Composition,True
130,Realism,style_tags,Realism,True
130,Naturalism,style_tags,Naturalism,True
