name,artist_id,birth_date,death_date,birth_date_dt,death_date_dt,nationality_id,nationality,image_url,wikipedia_title,biography,family_name,given_name
Joseph Highmore,Q1707243,1692,1780,+1692-06-13T00:00:00Z,+1780-03-03T00:00:00Z,Q161885,Kingdom of Great Britain,https://commons.wikimedia.org/wiki/Special:FilePath/Highmore Joseph-Self-Portrait.jpg,Joseph Highmore,"Joseph Highmore (13 June 1692 – 3 March 1780) was an English painter of portraits, conversation pieces and history subjects, illustrator and author. After retiring from his career as a painter at the age of 70, he published art historical and critical articles.",Highmore,Joseph
Joan Roig Soler,Q9012056,1852,1909,+1852-00-00T00:00:00Z,+1909-02-08T00:00:00Z,Q29,Spain,"https://commons.wikimedia.org/wiki/Special:FilePath/Joan Roig i Soler 2, per Napoleon.jpg",,,Roig y Soler,Juan
Claude Monet,Q296,1840,1926,+1840-11-14T00:00:00Z,+1926-12-05T00:00:00Z,Q142,France,https://commons.wikimedia.org/wiki/Special:FilePath/Claude Monet 1899 Nadar crop.jpg,Claude Monet,"Oscar-Claude Monet (UK: , US: ; French: [klod mɔnɛ]; 14 November 1840 – 5 December 1926) was a French painter and founder of impressionism painting who is seen as a key precursor to modernism, especially in his attempts to paint nature as he perceived it. During his long career, he was the most consistent and prolific practitioner of impressionism's philosophy of expressing one's perceptions of nature, especially as applied to plein air (outdoor) landscape painting. The term ""impressionism"" is derived from the title of his painting Impression, soleil levant, which was first exhibited in the so-called ""exhibition of rejects"" of 1874–an exhibition initiated by Monet and like-minded artists as an alternative to the Salon.
Monet was raised in Le Havre, Normandy, and became interested in the outdoors and drawing from an early age. Although his mother, Louise-Justine Aubrée Monet, supported his ambitions to be a painter, his father, Claude-Adolphe, disapproved and wanted him to pursue a career in business. He was very close to his mother, but she died in January 1857 when he was sixteen years old, and he was sent to live with his childless, widowed but wealthy aunt, Marie-Jeanne Lecadre. He went on to study at the Académie Suisse, and under the academic history painter Charles Gleyre, where he was a classmate of Auguste Renoir. His early works include landscapes, seascapes, and portraits, but attracted little attention. A key early influence was Eugène Boudin, who introduced him to the concept of plein air painting. From 1883, Monet lived in Giverny, also in northern France, where he purchased a house and property and began a vast landscaping project, including a water-lily pond.
Monet's ambition to document the French countryside led to a method of painting the same scene many times so as to capture the changing of light and the passing of the seasons. Among the best-known examples are his series of haystacks (1890–1891), paintings of Rouen Cathedral (1892–1894), and the paintings of water lilies in his garden in Giverny that occupied him continuously for the last 20 years of his life.
Frequently exhibited and successful during his lifetime, Monet's fame and popularity soared in the second half of the 20th century when he became one of the world's most famous painters and a source of inspiration for a burgeoning group of artists.",Monet,Claude
Hubert Robert,Q548205,1733,1808,+1733-05-22T00:00:00Z,+1808-04-15T00:00:00Z,Q142,France,https://commons.wikimedia.org/wiki/Special:FilePath/Élisabeth-Louise Vigée-Le Brun - Hubert Robert (1788).jpg,Hubert Robert,"Hubert Robert (French pronunciation: [ybɛʁ ʁɔbɛʁ]; 22 May 1733 – 15 April 1808) was a French painter in the school of Romanticism, noted especially for his landscape paintings and capricci, or semi-fictitious picturesque depictions of ruins in Italy and of France.",Robert,Hubert
Lo Spagna,Q1446925,1450,1528,+1450-00-00T00:00:00Z,+1528-00-00T00:00:00Z,Q29,Spain,https://commons.wikimedia.org/wiki/Special:FilePath/Lo Spagna - Vierge à l'Enfant.jpg,Lo Spagna,"Lo Spagna (died c. 1529), ""the Spaniard"" in Italian, was a painter of the High Renaissance, active in central Italy. His name was Giovanni di Pietro, but he was known as Lo Spagna because he was born in Spain.  After Raphael, he was a main pupil and follower of the Umbrian painter Perugino, whose style his paintings developed. He should not be confused with Pietro di Giovanni D'Ambrogio of Siena.
Lo Spagna is known for a number of major works completed in the region, including the Birth of the Virgin from Spineta in Todi, the Adoration of the Magi of Ferentillo and the Nativity of St Anthony in Perugia. Lo Spagna married Santina Martorelli from one of Spoleto's leading families and here he was nominated Capitano delle Arti dei Pittori e degli Orefici in 1517. He died in 1528, possibly of the plague.
Giovanni di Pietro completed the decoration of the apse and two chapels of the church of San Giacomo in Spoleto. The records indicate that some thirty inhabitants of the parish contributed payment for the work, which was completed in 1526. The apse vault is frescoed with the Coronation of the Virgin and St James, while after Lo Spagna's death, the chapel frescoes were completed by pupils, Dono Doni and Cecco di Bernardino of Assisi. The Madonna and Child in Glory with St Sebastian and St Rocco on the far wall of the church of Campello sul Clitunno was completed by one of his pupils from a preparatory drawing by Lo Spagna. The apse of the church of San Giovanni Battista in the small village of Eggi contains a fresco completed by a hand from Lo Spagna’s studio working from a drawing by the artist. For the church of San Martino, Lo Spagna completed the large altar-piece of Coronation of the Virgin, (1522), which today hangs in the Museo Civico of Trevi. The church of Madonna delle Lacrime was Lo Spagna to complete the fresco decorations in the chapel dedicated to St Francis (1518). Around 1520 Lo Spagna decorated the first altar to the right of the church of Sant’Agostino in Visso with frescoes, now found in the Collegiata di Santa Maria. Lo Spagna painted a fresco cycle for the parish church of San Michele Arcangelo in Gavelli, a hamlet in the township of Sant'Anatolia di Narco near Perugia.
The famous Sposalizio, or Marriage of Joseph and Mary, in the museum at Caen, formerly attributed to Perugino, is now credited to Lo Spagna. The Capitoline Museums in Rome now possess a very beautiful series of life-sized fresco figures by him, representing Apollo and the Nine Muses.
Lo Spagna had various pupils and followers, among them Bernardino Campilius.",Pietro,Giovanni
François Bonvin,Q1357683,1817,1887,+1817-11-22T00:00:00Z,+1887-12-19T00:00:00Z,Q142,France,"https://commons.wikimedia.org/wiki/Special:FilePath/François Bonvin, by François Bonvin.jpg",François Bonvin,"François Bonvin (November 22, 1817 – December 19, 1887) was a French realist painter.",Bonvin,François
Eugène Louis Boudin,Q212600,1824,1898,+1824-07-12T00:00:00Z,+1898-08-08T00:00:00Z,Q142,France,https://commons.wikimedia.org/wiki/Special:FilePath/Boudin-eugene-c-face-half.jpg,Eugène Boudin,"Eugène Louis Boudin (French: [øʒɛn lwi budɛ̃]; 12 July 1824 – 8 August 1898) was one of the first French landscape painters to paint outdoors. Boudin was a marine painter, and expert in the rendering of all that goes upon the sea and along its shores. His pastels, summary and economic, garnered the splendid eulogy of Baudelaire; and Corot called him the ""King of the skies"".",Boudin,Eugène-Louis
Yuan Jiang,Q45609580,,,,,Q9903,Ming dynasty,,,,Yuan,Jiang
Joaquín Sorolla,Q351746,1863,1923,+1863-02-27T00:00:00Z,+1923-08-10T00:00:00Z,Q29,Spain,https://commons.wikimedia.org/wiki/Special:FilePath/Joaquín Sorolla 004.jpg,Joaquín Sorolla,"Joaquín Sorolla y Bastida (Valencian: Joaquim Sorolla i Bastida, 27 February 1863 – 10 August 1923) was a Spanish painter. Sorolla excelled in the painting of portraits, landscapes, and monumental works of social and historical themes. His most typical works are characterized by a dexterous representation of the people and landscape under the bright sunlight of Spain and sunlit water.",Sorolla,Joaquín
Abraham Janssens I,Q330139,1575,1632,+1575-00-00T00:00:00Z,+1632-01-01T00:00:00Z,Q1031430,Habsburg Netherlands,https://commons.wikimedia.org/wiki/Special:FilePath/Scaldis and Antwerpia by Abraham Janssens.jpg,Abraham Janssens,"Abraham Janssens I, Abraham Janssen I or Abraham Janssens van Nuyssen (1575–1632) was a Flemish painter, who is known principally for his large religious and mythological works, which show the influence of Caravaggio.  He was the leading history painter in Flanders prior to the return of Rubens from Italy.",Janssens,Abraham
Gustave Caillebotte,Q295144,1848,1894,+1848-08-19T00:00:00Z,+1894-02-21T00:00:00Z,Q142,France,https://commons.wikimedia.org/wiki/Special:FilePath/Caillebotteautoportrait.jpg,Gustave Caillebotte,"Gustave Caillebotte (French: [ɡystav kɑjbɔt]; 19 August 1848 – 21 February 1894) was a French painter who was a member and patron of the Impressionists, although he painted in a more realistic manner than many others in the group. Caillebotte was known for his early interest in photography as an art form.",Caillebotte,Gustave
Lan Ying,Q3138790,1585,1664,+1585-01-01T00:00:00Z,+1664-01-01T00:00:00Z,Q8733,Qing dynasty,,Lan Ying,"Lan Ying (simplified Chinese: 蓝瑛; traditional Chinese: 藍瑛; pinyin: Lán Yīng; ca. 1585–1664) was a Chinese painter of landscapes, human figures, flowers and birds who was active during the Ming dynasty (1368–1644).

",Lan,Ying
Tosa Mitsuoki,Q3180225,1617,1691,+1617-10-23T00:00:00Z,+1691-09-25T00:00:00Z,Q17,Japan,https://commons.wikimedia.org/wiki/Special:FilePath/Ilustration of The Tale of Genji.jpg,Tosa Mitsuoki,"Tosa Mitsuoki (土佐 光起, November 21, 1617 – November 14, 1691) was a Japanese painter.
Tosa Mitsuoki succeeded his father, Tosa Mitsunori (1583–1638), as head of the Tosa school and brought the Tosa school to Kyoto after around 50 years in Sakai. When the school was settled in Sakai, Mitsunori painted for townsmen. The school was not as prolific as it once was when Mitsunobu, who painted many fine scrolls (1434–1525) ran the school. Mitsuoki moved out of Sakai with his father, in 1634 and into the city of Kyoto. There, he hoped to revive the Tosa school to gain status back into the Kyoto court. Around the time of 1654 he gained a position as court painter (edokoro azukari) that had for many years traditionally been held by the Tosa family, but was in possession of the Kano school since the late Muromachi period (1338–1573).

",Tosa,Mitsuoki
Honoré Daumier,Q187506,1808,1879,+1808-02-26T00:00:00Z,+1879-02-10T00:00:00Z,Q142,France,https://commons.wikimedia.org/wiki/Special:FilePath/Honore Daumier-Nadar.jpg,Honoré Daumier,"Honoré-Victorin Daumier (French: [ɔnɔʁe domje]; February 26, 1808 – February 10 or 11, 1879) was a French painter, sculptor, and printmaker, whose many works offer commentary on the social and political life in France, from the Revolution of 1830 to the fall of the second Napoleonic Empire in 1870. He earned a living producing caricatures and cartoons in newspapers and periodicals such as La Caricature and Le Charivari, for which he became well known in his lifetime and is still remembered today. He was a republican democrat (working class liberal), who satirized and lampooned the monarchy, politicians, the judiciary, lawyers, the bourgeoisie, as well as his countrymen and human nature in general. 
He was also a serious painter, loosely associated with realism, sometimes blurring the boundaries between caricature and fine art. Although he occasionally exhibited at the Parisian Salon, his paintings were largely overlooked and ignored by the French public and critics of the day. Yet Daumier's fellow painters, as well as the poet and art critic Charles Baudelaire, noticed and greatly admired his work. Later generations would recognize Daumier as one of the great French artists of the 19th century, profoundly influencing a younger generation of impressionist and postimpressionist painters. Daumier was a tireless and prolific artist and produced more than 100 sculptures, 500 paintings, 1000 drawings, 1000 wood engravings, and 4000 lithographs. 
Honoré Daumier came from a poor family and was working by the age of 12, first at a huissier de justice, then at a bookstore frequented by artists where he began to draw. He received some mentorship from Alexandre Lenoir, attended the Académie Suisse, learned lithography, and was producing advertisements, illustrations, and caricatures by the time he was twenty. After the July Revolution of 1830 he begin working for satirical political papers that were highly critical of the new monarch Louis Philippe I and his court. He was jailed for several months in 1832 after the publication of Gargantua, a particularly offensive depiction of the King, Louis Philippe. After his release Daumier resumed publishing political lithographs until the September Laws were passed in 1835, limiting the freedom of the press. Afterwards, his cartoons softened, the bourgeoisie and daily Parisian life were more frequent subjects, and when political subjects did appear they were oblique and vailed. Daumier experienced financial hardships and debt throughout much of his life.
Daumier married Alexandrine Dassy in 1846 and moved to the Île Saint-Louis where they lived until 1863. He increasingly associated with writers, poets, painters, and sculptors there, including Baudelaire, Corot, Courbet, Delacroix among others, and began to paint in earnest. He spent his summers from 1853 onward in Barbizon and Valmondois, where artists of the Barbizon school and realist movement worked. As his desire to paint intensified, his enthusiasm for cartooning declined, as did his popularity with the public. Le Charivari stopped publishing his comics in 1860. A period of finical hardship followed, and from 1863‒65 he moved to a series of lodgings around Montmartre and lost contact with many friends. Le Charivari gave him a new contract in 1864 and he resumed making caricatures for an appreciative audience in Paris. Daumier moved to Valmondois in 1865. He experienced failing eyesight and poverty there, although he continued to produce lithographs and paint, often on the theme of Don Quixote. The French Third Republic granted him a pension in 1877, and the following year a major exhibition of his paintings was held in Paris, which received significant recognition in the final months of his life. Daumier died in February of 1879. Various sources give conflicting dates regarding the day of his death: some state February 10, 1879, others February 11.: 37 & 40p. : 10 p. ",Daumier,Honoré Victorin
Nagasawa Rosetsu,Q1632536,1754,1799,+1754-01-01T00:00:00Z,+1799-07-10T00:00:00Z,Q17,Japan,,Nagasawa Rosetsu,"Nagasawa Rosetsu (長沢芦雪, 1754–1799) was a Japanese painter during the Edo period. A disciple of the Maruyama School, he was known for his versatile artistic style. He was born to the family of a low-ranking samurai. He studied with Maruyama Ōkyo in Kyoto.",Nagasawa,Rosetsu
Camille Pissarro,Q134741,1830,1903,+1830-07-10T00:00:00Z,+1903-11-13T00:00:00Z,Q142,France,https://commons.wikimedia.org/wiki/Special:FilePath/Pissarro-portrait-c1900.jpg,Camille Pissarro,"Jacob Abraham Camille Pissarro ( piss-AR-oh; French: [kamij pisaʁo]; 10 July 1830 – 13 November 1903) was a Danish-French Impressionist and Neo-Impressionist painter born on the island of St Thomas (now in the US Virgin Islands, but then in the Danish West Indies). His importance resides in his contributions to both Impressionism and Post-Impressionism. Pissarro studied from great forerunners, including Gustave Courbet and Jean-Baptiste-Camille Corot. He later studied and worked alongside Georges Seurat and Paul Signac when he took on the Neo-Impressionist style at the age of 54.
In 1873 he helped establish a collective society of fifteen aspiring artists, becoming the ""pivotal"" figure in holding the group together and encouraging the other members. Art historian John Rewald called Pissarro the ""dean of the Impressionist painters"", not only because he was the oldest of the group, but also ""by virtue of his wisdom and his balanced, kind, and warmhearted personality"". Paul Cézanne said ""he was a father for me. A man to consult and a little like the good Lord"", and he was also one of Paul Gauguin's masters. Pierre-Auguste Renoir referred to his work as ""revolutionary"", through his artistic portrayals of the ""common man"", as Pissarro insisted on painting individuals in natural settings without ""artifice or grandeur"".
Pissarro is the only artist to have shown his work at all eight Paris Impressionist exhibitions, from 1874 to 1886. He ""acted as a father figure not only to the Impressionists"" but to all four of the major Post-Impressionists, Cézanne, Seurat, Gauguin, and van Gogh.",Pissarro,Camille
George Inness,Q704868,1825,1894,+1825-05-01T00:00:00Z,+1894-08-03T00:00:00Z,Q30,United States of America,https://commons.wikimedia.org/wiki/Special:FilePath/Daniel Huntington - Portrait of George Inness (National Academy of Design).jpg,George Inness,"George Inness (May 1, 1825 – August 3, 1894) was a prominent American landscape painter.
Now recognized as one of the most influential American artists of the nineteenth century, Inness was influenced by the Hudson River School at the start of his career. He also studied the Old Masters, and artists of the Barbizon school during later trips to Europe. There he was introduced to the theology of Emanuel Swedenborg, which was significant for him; he expressed that spiritualism in the works of his maturity (1879–1894).
Although Inness's style evolved through distinct stages over a prolific career that spanned more than forty years and 1,000 paintings, his works consistently earned acclaim for their powerful, coordinated efforts to elicit depth of mood, atmosphere, and emotion. Neither pure realist nor impressionist, Inness was a transitional figure. He worked to combine both the earthly and the ethereal in order to capture the complete essence of a locale in his works. A master of light, color, and shadow, he became noted for creating highly ordered and complex scenes that often juxtaposed hazy or blurred elements with sharp and refined details to evoke an interweaving of both the physical and the spiritual nature of experience. In Inness's words, he attempted through his art to demonstrate the ""reality of the unseen"" and to connect the ""visible upon the invisible.""

Within his lifetime, art critics hailed Inness as one of America's greatest artists. Often called ""the father of American landscape painting,"" Inness is best known for his mature works that not only exemplified the Tonalist movement but also displayed an original and uniquely American style.",Inness,George
Robert Vonnoh,Q1856567,1858,1933,+1858-09-17T00:00:00Z,+1933-12-28T00:00:00Z,Q30,United States of America,"https://commons.wikimedia.org/wiki/Special:FilePath/Bessie Potter Vonnoh&Robert Vonnoh,ca. 1930.jpg",Robert Vonnoh,"Robert William Vonnoh (September 17, 1858 – 28 December 1933) was an American Impressionist painter known for his portraits and landscapes. He traveled extensively between the American East Coast and France, more specifically the artists colony at Grez-sur-Loing.",Vonnoh,Robert
Eugène Fromentin,Q353746,1820,1876,+1820-10-24T00:00:00Z,+1876-08-27T00:00:00Z,Q142,France,https://commons.wikimedia.org/wiki/Special:FilePath/Eugene Fromentin Frontispice de Correspondance.png,Eugène Fromentin,"Eugène Fromentin (French pronunciation: [øʒɛn fʁɔmɑ̃tɛ̃]; 24 October 1820 – 27 August 1876) was a French painter and writer, now better remembered for his writings.

",Fromentin,Eugène
Georges Seurat,Q34013,1859,1891,+1859-12-02T00:00:00Z,+1891-03-29T00:00:00Z,Q142,France,https://commons.wikimedia.org/wiki/Special:FilePath/Georges Seurat 1888 (cropped).jpg,Georges Seurat,"Georges Pierre Seurat (UK:  SUR-ah, -⁠ə, US:  suu-RAH; French: [ʒɔʁʒ pjɛʁ sœʁa]; 2 December 1859 – 29 March 1891) was a French post-Impressionist artist. He devised the painting techniques known as chromoluminarism and pointillism and used conté crayon for drawings on paper with a rough surface.
Seurat's artistic personality combined qualities that are usually thought of as opposed and incompatible: on the one hand, his extreme and delicate sensibility, on the other, a passion for logical abstraction and an almost mathematical precision of mind. His large-scale work A Sunday Afternoon on the Island of La Grande Jatte (1884–1886) altered the direction of modern art by initiating Neo-Impressionism, and is one of the icons of late 19th-century painting.",Seurat,Georges
Martin Johnson Heade,Q3123472,1819,1904,+1819-08-11T00:00:00Z,+1904-09-04T00:00:00Z,Q30,United States of America,https://commons.wikimedia.org/wiki/Special:FilePath/Martin-johnson-heade.jpg,Martin Johnson Heade,"Martin Johnson Heade (August 11, 1819 – September 4, 1904) was an American painter known for his salt marsh landscapes, seascapes, and depictions of tropical birds (such as hummingbirds), as well as lotus blossoms and other still lifes. His painting style and subject matter, while derived from the romanticism of the time, are regarded by art historians as a significant departure from those of his peers.
Heade was born in Lumberville, Pennsylvania, the son of a storekeeper. He studied with Edward Hicks, and possibly with Thomas Hicks. His earliest works were produced during the 1840s and were chiefly portraits. He travelled to Europe several times as a young man, became an itinerant artist on American shores, and exhibited in Philadelphia in 1841 and New York in 1843. Friendships with artists of the Hudson River School led to an interest in landscape art.  In 1863, he planned to publish a volume of Brazilian hummingbirds and tropical flowers, but the project was eventually abandoned. He travelled to the tropics several times thereafter, and continued to paint birds and flowers. Heade married in 1883 and moved to St. Augustine, Florida. His chief works from this period were Floridian landscapes and flowers, particularly magnolias laid upon velvet cloth. He died in 1904. His best known works are depictions of light and shadow upon the salt marshes of New England.
Heade was not a widely known artist during his lifetime, but his work attracted the notice of scholars, art historians, and collectors during the 1940s. He quickly became recognized as a major American artist. Although often considered a Hudson River School artist, some critics and scholars take exception to this categorization. Heade's works are now in major museums and collections. His paintings are occasionally discovered in unlikely places such as garage sales and flea markets.",Heade,Martin Johnson
John Singer Sargent,Q155626,1856,1925,+1856-01-12T00:00:00Z,+1925-04-15T00:00:00Z,Q30,United States of America,https://commons.wikimedia.org/wiki/Special:FilePath/John Singer Sargent 1903.jpg,John Singer Sargent,"John Singer Sargent (; January 12, 1856 – April 14, 1925) was an American expatriate artist, considered the ""leading portrait painter of his generation"" for his evocations of Edwardian-era luxury. He created roughly 900 oil paintings and more than 2,000 watercolors, as well as countless sketches and charcoal drawings. His oeuvre documents worldwide travel, from Venice to the Tyrol, Corfu, Spain, the Middle East, Montana, Maine, and Florida.
Born in Florence to American parents, he was trained in Paris before moving to London, living most of his life in Europe. He enjoyed international acclaim as a portrait painter. An early submission to the Paris Salon in the 1880s, his Portrait of Madame X, was intended to consolidate his position as a society painter in Paris but instead resulted in scandal. During the year following the scandal, Sargent departed for England, where he continued a successful career as a portrait artist.
From the beginning, Sargent's work is characterized by remarkable technical facility, particularly in his ability to draw with a brush, which in later years inspired admiration as well as criticism for its supposed superficiality. His commissioned works were consistent with the grand manner of portraiture, while his informal studies and landscape paintings displayed a familiarity with Impressionism. In later life, Sargent expressed ambivalence about the restrictions of formal portrait work and devoted much of his energy to mural painting and working en plein air. Art historians generally ignored society artists such as Sargent until the late 20th century.
The exhibition in the 1980s of Sargent's previously hidden male nudes served to spark a reevaluation of his life and work, and its psychological complexity. In addition to the beauty, sensation and innovation of his oeuvre, his same-sex interests, unconventional friendships with women and engagement with race, gender nonconformity and emerging globalism are now viewed as socially and aesthetically progressive and radical.",Sargent,John
Wassily Kandinsky,Q61064,1866,1944,+1866-12-04T00:00:00Z,+1944-12-13T00:00:00Z,Q34266,Russian Empire,https://commons.wikimedia.org/wiki/Special:FilePath/Wassily kandinsky.jpg,Wassily Kandinsky,"Wassily Wassilyevich Kandinsky (16 December [O.S. 4 December] 1866 – 13 December 1944) was a Russian painter and art theorist. Kandinsky is generally credited as one of the pioneers of abstraction in western art. Born in Moscow, he spent his childhood in Odessa, where he graduated from Odessa Art School. He enrolled at the University of Moscow, studying law and economics. Successful in his profession, he was offered a professorship (chair of Roman Law) at the University of Dorpat (today Tartu, Estonia). Kandinsky began painting studies (life-drawing, sketching and anatomy) at the age of 30.
In 1896, Kandinsky settled in Munich, studying first at Anton Ažbe's private school and then at the Academy of Fine Arts. He returned to Moscow in 1914 after the outbreak of World War I. Following the Russian Revolution, Kandinsky ""became an insider in the cultural administration of Anatoly Lunacharsky"" and helped establish the Museum of the Culture of Painting. However, by then, ""his spiritual outlook... was foreign to the argumentative materialism of Soviet society"" and opportunities beckoned in Germany, to which he returned in 1920. There, he taught at the Bauhaus school of art and architecture from 1922 until the Nazis closed it in 1933. He then moved to France, where he lived for the rest of his life, becoming a French citizen in 1939 and producing some of his most prominent art. He died in Neuilly-sur-Seine in 1944, three days before his 78th birthday.",Kandinsky,Vasily
Yu Zhiding,Q65832435,,,,,,,,,,Yu,Zhiding
Emanuel de Witte,Q711203,1617,1692,+1617-01-01T00:00:00Z,+1692-01-01T00:00:00Z,Q170072,Dutch Republic,https://commons.wikimedia.org/wiki/Special:FilePath/Portrait of Emanuel de Witte by Jan Stolker.jpg,Emanuel de Witte,"Emanuel de Witte (1617–1692) was a Dutch perspective painter.  In contrast to Pieter Jansz Saenredam, who emphasized architectural accuracy, De Witte was more concerned with the atmosphere of his interiors. Though few in number, de Witte also produced genre paintings.",de Witte,Emanuel
