title,creation_year_start,creation_year_end,medium,classification,dimension,artwork_id,full_image_url,artist_id,artist_display
"View of Schroon Mountain, Essex County, New York, After a Storm",1838,1838,oil on canvas,Painting,"{'framed': {'height': 1.325, 'width': 1.935, 'depth': 0.13}, 'unframed': {'height': 0.998, 'width': 1.606}}",TCMA-2c76ba4b-0c61-4788-b689-b8d24cc711b6,https://openaccess-cdn.clevelandart.org/1917.1335/1917.1335_full.tif,TCMA-2659,"Thomas Cole (American, 1801–1848)"
The Red Kerchief,1868,1873,oil on fabric,Painting,"{'framed': {'height': 1.283, 'width': 1.057, 'depth': 0.146}, 'unframed': {'height': 0.99, 'width': 0.798}}",TCMA-4430f600-a401-44f0-9414-3f04171a2a7c,https://openaccess-cdn.clevelandart.org/1958.39/1958.39_full.tif,TCMA-1844,"Claude Monet (French, 1840–1926)"
Portrait of a Family Playing Music,1663,1663,oil on canvas,Painting,"{'framed': {'height': 1.245, 'width': 1.425, 'depth': 0.07}, 'unframed': {'height': 0.987, 'width': 1.167}}",TCMA-d949113a-0089-421f-9f4a-b35c2995e5df,https://openaccess-cdn.clevelandart.org/1951.355/1951.355_full.tif,TCMA-2633,"Pieter de Hooch (Dutch, 1629–1684)"
Frieze of Dancers,1890,1900,oil on fabric,Painting,"{'framed': {'height': 1.03, 'width': 2.335, 'depth': 0.07}, 'unframed': {'height': 0.7, 'width': 2.005}}",TCMA-28eb0daf-0758-4923-977b-a8e4da7d4bf4,https://openaccess-cdn.clevelandart.org/1946.83/1946.83_full.tif,TCMA-1759,"Edgar Degas (French, 1834–1917)"
Cupid and Psyche,1817,1817,oil on canvas,Painting,"{'framed': {'height': 2.21, 'width': 2.82, 'depth': 0.1}, 'unframed': {'height': 1.842, 'width': 2.416}}",TCMA-dbe1c177-48fc-47f3-9666-e7df036a0099,https://openaccess-cdn.clevelandart.org/1962.37/1962.37_full.tif,TCMA-1643,"Jacques-Louis David (French, 1748–1825)"
"Elizabeth Shewell West and Her Son, Raphael",1765,1775,oil on canvas,Painting,"{'framed': {'height': 0.88, 'width': 0.875, 'depth': 0.09}, 'unframed': {'height': 0.665, 'width': 0.663}}",TCMA-9e929bd1-f2f2-49ee-87f2-1ba7426ad536,https://openaccess-cdn.clevelandart.org/1927.393/1927.393_full.tif,TCMA-2553,"Benjamin West (American, 1738–1820)"
Portrait of the Ladies Amabel and Mary Jemima Yorke,1756,1766,oil on canvas,Painting,"{'framed': {'height': 2.245, 'width': 2.013, 'depth': 0.114}, 'unframed': {'height': 1.96, 'width': 1.7}, 'former': {'height': 2.235, 'width': 1.98, 'depth': 0.09}}",TCMA-2e100a21-9f1c-4f1a-bd66-0c4328c01cad,https://openaccess-cdn.clevelandart.org/1942.645/1942.645_full.tif,TCMA-2541,"Joshua Reynolds (British, 1723–1792)"
"Portrait of a Man, possibly Girolamo Rosati",1533,1534,oil on canvas,Painting,"{'framed': {'height': 1.359, 'width': 1.28, 'depth': 0.086}, 'unframed': {'height': 1.082, 'width': 1.005}}",TCMA-cb315e61-9279-40ab-9e17-d40e7950ba75,https://openaccess-cdn.clevelandart.org/1950.250/1950.250_full.tif,TCMA-2209,"Lorenzo Lotto (Italian, 1480–1556)"
Peregrine Falcons (Duck Hawks),1822,1832,oil on canvas,Painting,"{'framed': {'height': 0.749, 'width': 1.01, 'depth': 0.102}, 'unframed': {'height': 0.645, 'width': 0.915}}",TCMA-8faf92dc-f4ba-440a-9060-2789d2072aa8,https://openaccess-cdn.clevelandart.org/1964.351/1964.351_full.tif,TCMA-2694,"John James Audubon (American, 1785–1851)"
The Sacrifice of Isaac,1522,1532,oil on wood,Painting,"{'framed': {'height': 2.08, 'width': 1.71, 'depth': 0.125}, 'unframed': {'height': 1.78, 'width': 1.38}}",TCMA-23bb9971-982d-4ce1-ac05-e72862b477fc,https://openaccess-cdn.clevelandart.org/1937.577/1937.577_full.tif,TCMA-2291,"Andrea del Sarto (Italian, 1486–1530)"
Hunting near Hartenfels Castle,1540,1540,"oil, originally on wood, transferred to masonite",Painting,"{'framed': {'height': 1.33, 'width': 1.855, 'depth': 0.073}, 'unframed': {'height': 1.168, 'width': 1.702}}",TCMA-e9b4c497-1384-4334-8cff-d1823dd54218,https://openaccess-cdn.clevelandart.org/1958.425/1958.425_full.tif,TCMA-2647,"Lucas Cranach (German, 1472–1553)"
The Holy Family on the Steps,1648,1648,oil on canvas,Painting,"{'framed': {'height': 1.035, 'width': 1.353, 'depth': 0.133}, 'unframed': {'height': 0.733, 'width': 1.058}, 'former': {'height': 0.723, 'width': 1.04}}",TCMA-a90609df-285f-4db1-8d88-1d0cf0cf4793,https://openaccess-cdn.clevelandart.org/1981.18/1981.18_full.tif,TCMA-1946,"Nicolas Poussin (French, 1594–1665)"
Diana and Her Nymphs Departing for the Hunt,1610,1620,oil on canvas,Painting,"{'framed': {'height': 2.61, 'width': 2.25, 'depth': 0.11}, 'unframed': {'height': 2.16, 'width': 1.787}}",TCMA-90730169-edef-4ddf-8a20-1998d1d99151,https://openaccess-cdn.clevelandart.org/1959.190/1959.190_full.tif,TCMA-1251,"Peter Paul Rubens (Flemish, 1577–1640)"
Wineglass and a Bowl of Fruit,1663,1663,oil on canvas,Painting,"{'framed': {'height': 0.81, 'width': 0.705, 'depth': 0.075}, 'unframed': {'height': 0.603, 'width': 0.502}}",TCMA-41da54aa-2937-4105-8435-01468e483d7c,https://openaccess-cdn.clevelandart.org/1962.292/1962.292_full.tif,TCMA-2673,"Willem Kalf (Dutch, 1619–1693)"
Mme L... (Laure Borreau),1863,1863,oil on fabric,Painting,"{'framed': {'height': 1.124, 'width': 0.93, 'depth': 0.121}, 'unframed': {'height': 0.81, 'width': 0.612}}",TCMA-20aa9e98-3256-48d4-9f15-58072f1ffc07,https://openaccess-cdn.clevelandart.org/1962.2/1962.2_full.tif,TCMA-1600,"Gustave Courbet (French, 1819–1877)"
George Washington at Princeton,1774,1784,oil on canvas,Painting,"{'framed': {'height': 1.53, 'width': 1.44, 'depth': 0.07}, 'unframed': {'height': 1.31, 'width': 1.216}}",TCMA-4ca7806e-46fb-4835-abfd-5c2e5ba422f8,https://openaccess-cdn.clevelandart.org/1917.946/1917.946_full.tif,TCMA-2523,"Charles Willson Peale (American, 1741–1827)"
A Genoese Lady with Her Child,1623,1625,oil on canvas,Painting,"{'framed': {'height': 2.665, 'width': 1.84, 'depth': 0.12}, 'unframed': {'height': 2.178, 'width': 1.46}}",TCMA-b4dea6cd-d65b-4771-abac-e51aeba11c07,https://openaccess-cdn.clevelandart.org/1954.392/1954.392_full.tif,TCMA-2443,"Anthony van Dyck (Flemish, 1599–1641)"
The Crucifixion of Saint Andrew,1606,1607,oil on canvas,Painting,"{'framed': {'height': 2.335, 'width': 1.84, 'depth': 0.12}, 'unframed': {'height': 2.025, 'width': 1.527}}",TCMA-b8e8d24f-3ce1-433a-9dcb-a60e7aaaa6c7,https://openaccess-cdn.clevelandart.org/1976.2/1976.2_full.tif,TCMA-2065,"Caravaggio (Italian, 1571–1610)"
The Troubadour,1868,1873,oil on fabric,Painting,"{'framed': {'height': 0.995, 'width': 0.73, 'depth': 0.08}, 'unframed': {'height': 0.836, 'width': 0.568}}",TCMA-6b5f9acb-70ca-47df-88a1-01fded833c73,https://openaccess-cdn.clevelandart.org/1958.23/1958.23_full.tif,TCMA-1638,"Honoré Daumier (French, 1808–1879)"
"The Burning of the Houses of Lords and Commons, 16 October 1834",1835,1835,oil on canvas,Painting,"{'framed': {'height': 1.235, 'width': 1.535, 'depth': 0.12}, 'unframed': {'height': 0.92, 'width': 1.232}}",TCMA-6085afc9-68ef-471c-b3ca-8ab34a6eb141,https://openaccess-cdn.clevelandart.org/1942.647/1942.647_full.tif,TCMA-1280,"Joseph Mallord William Turner (British, 1775–1851)"
Sunny Autumn Day,1892,1892,oil on canvas,Painting,"{'framed': {'height': 1.114, 'width': 1.375, 'depth': 0.121}, 'unframed': {'height': 0.81, 'width': 1.06}, 'former': {'height': 1.01, 'width': 1.27, 'depth': 0.076}}",TCMA-f79a90fa-bac1-417f-acca-43393a791742,https://openaccess-cdn.clevelandart.org/1956.578/1956.578_full.tif,TCMA-2493,"George Inness (American, 1825–1894)"
Portrait of a Couple,1580,1588,oil on canvas,Painting,"{'framed': {'height': 1.32, 'width': 1.73, 'depth': 0.105}, 'unframed': {'height': 0.998, 'width': 1.405}}",TCMA-bff20f2b-c96d-4d48-9fd0-e529c27bed47,https://openaccess-cdn.clevelandart.org/1916.793/1916.793_full.tif,,
Portrait of a Woman,1630,1635,oil on wood,Painting,"{'framed': {'height': 0.978, 'width': 0.838, 'depth': 0.064}, 'unframed': {'height': 0.775, 'width': 0.648}}",TCMA-4bac8ee3-d248-41e6-92b0-5e5244a50a6a,https://openaccess-cdn.clevelandart.org/1944.90/1944.90_full.tif,TCMA-2520,"Rembrandt van Rijn (Dutch, 1606–1669)"
Water Lilies (Agapanthus),1915,1926,oil on canvas,Painting,"{'framed': {'height': 2.049, 'width': 4.303, 'depth': 0.06}, 'unframed': {'height': 2.013, 'width': 4.256}}",TCMA-e2ec5c79-a381-4ebb-a34b-a46b32b56168,https://openaccess-cdn.clevelandart.org/1960.81/1960.81_full.tif,TCMA-1844,"Claude Monet (French, 1840–1926)"
The Power of Music,1847,1847,oil on canvas,Painting,"{'framed': {'height': 0.67, 'width': 0.78, 'depth': 0.075}, 'unframed': {'height': 0.434, 'width': 0.535}}",TCMA-cc1c3b2d-ce90-46b1-b588-9d7b12262e66,https://openaccess-cdn.clevelandart.org/1991.110/1991.110_full.tif,TCMA-2876,"William Sidney Mount (American, 1807–1868)"
"Branch Hill Pond, Hampstead",1828,1828,oil on canvas,Painting,"{'framed': {'height': 0.89, 'width': 1.055, 'depth': 0.115}, 'unframed': {'height': 0.606, 'width': 0.781}}",TCMA-7340d311-e53b-47d5-8075-8feca3cc6876,https://openaccess-cdn.clevelandart.org/1972.48/1972.48_full.tif,TCMA-1536,"John Constable (British, 1776–1837)"
The Large Plane Trees (Road Menders at Saint-Rémy),1889,1889,oil on fabric,Painting,"{'framed': {'height': 1.045, 'width': 1.245, 'depth': 0.076}, 'unframed': {'height': 0.734, 'width': 0.918}}",TCMA-9d06e959-8bdd-4997-a3e4-031fe4a9a608,https://openaccess-cdn.clevelandart.org/1947.209/1947.209_full.tif,TCMA-1779,"Vincent van Gogh (Dutch, 1853–1890)"
Saint John the Baptist in a Landscape,1440,1450,oil on panel,Painting,"{'unframed': {'height': 0.402, 'width': 0.125}, 'painted surface': {'height': 0.396, 'width': 0.115}}",TCMA-55f30c29-af4c-4160-8661-e5a0d2c6022d,https://openaccess-cdn.clevelandart.org/1979.80/1979.80_full.tif,TCMA-61584,"Petrus Christus (Netherlandish, c. 1410–1475/76)"
Low Waterfall in a Wooded Landscape with a Dead Beech Tree,1660,1670,oil on canvas,Painting,"{'framed': {'height': 1.23, 'width': 1.57, 'depth': 0.095}, 'unframed': {'height': 0.992, 'width': 1.31}}",TCMA-c3677a9d-9217-4124-adf5-741f38bb89a9,https://openaccess-cdn.clevelandart.org/1967.63/1967.63_full.tif,TCMA-2676,"Jacob van Ruisdael (Dutch, 1628/29–1682)"
View of Florence,1837,1837,oil on canvas,Painting,"{'framed': {'height': 1.254, 'width': 1.867, 'depth': 0.092}, 'unframed': {'height': 0.995, 'width': 1.604}}",TCMA-5c37729f-17e3-4c1f-9310-133610fa0f5c,https://openaccess-cdn.clevelandart.org/1961.39/1961.39_full.tif,TCMA-2659,"Thomas Cole (American, 1801–1848)"
Christ and the Virgin in the House at Nazareth,1635,1645,oil on canvas,Painting,"{'framed': {'height': 2.01, 'width': 2.56, 'depth': 0.1}, 'unframed': {'height': 1.65, 'width': 2.182}}",TCMA-92278b2d-926e-4f89-8ed5-1ba84e84ee5f,https://openaccess-cdn.clevelandart.org/1960.117/1960.117_full.tif,TCMA-5148,"Francisco de Zurbarán (Spanish, 1598–1664)"
The Annunciation,1475,1485,oil on wood,Painting,"{'framed': {'height': 0.752, 'width': 0.69, 'depth': 0.085}, 'unframed': {'height': 0.502, 'width': 0.415}}",TCMA-b59bff41-5de5-4652-aa3f-650ffd9865f5,https://openaccess-cdn.clevelandart.org/1942.635/1942.635_full.tif,TCMA-2535,"Albert Bouts (Netherlandish, 1451–55–1549)"
Ruin by the Sea,1881,1881,oil on fabric,Painting,"{'framed': {'height': 1.321, 'width': 1.029, 'depth': 0.083}, 'unframed': {'height': 1.11, 'width': 0.82}}",TCMA-913a355f-9bf1-45a9-9638-05b4cb52f79c,https://openaccess-cdn.clevelandart.org/1979.57/1979.57_full.tif,TCMA-2775,"Arnold Böcklin (Swiss, 1827–1901)"
Vale of Kashmir,1867,1867,oil on canvas,Painting,"{'framed': {'height': 0.949, 'width': 1.546, 'depth': 0.121}, 'unframed': {'height': 0.73, 'width': 1.324}}",TCMA-54703703-8ae3-4780-afd1-1ff1611d0106,https://openaccess-cdn.clevelandart.org/2014.12/2014.12_full.tif,TCMA-2605,"Robert S. Duncanson (American, 1821–1872)"
"Edge of the Woods Near L'Hermitage, Pontoise",1879,1879,oil on fabric,Painting,"{'framed': {'height': 1.66, 'width': 2.04, 'depth': 0.165}, 'unframed': {'height': 1.25, 'width': 1.63}}",TCMA-2ed47f50-3e1c-431d-8824-797002e1143c,https://openaccess-cdn.clevelandart.org/1951.356/1951.356_full.tif,TCMA-1836,"Camille Pissarro (French, 1830–1903)"
"Interior of the Pantheon, Rome",1747,1747,oil on canvas,Painting,"{'framed': {'height': 1.475, 'width': 1.2, 'depth': 0.05}, 'unframed': {'height': 1.27, 'width': 0.978}}",TCMA-ba090f9e-496b-4ed8-ae8b-6edc2ce85e1f,https://openaccess-cdn.clevelandart.org/1974.39/1974.39_full.tif,TCMA-2249,"Giovanni Paolo Panini (Italian, 1691–1765)"
The Young Eastern Woman,1838,1838,oil on fabric,Painting,"{'framed': {'height': 1.065, 'width': 0.905, 'depth': 0.09}, 'unframed': {'height': 0.885, 'width': 0.715}}",TCMA-d62e0c94-aa0e-425e-a4e7-84136e80a059,https://openaccess-cdn.clevelandart.org/1991.163/1991.163_full.tif,TCMA-2879,"Friedrich Amerling (Austrian, 1803–1887)"
Saint Peter Repentant,1645,1645,oil on canvas,Painting,"{'framed': {'height': 1.403, 'width': 1.191, 'depth': 0.07}, 'unframed': {'height': 1.14, 'width': 0.95}}",TCMA-e7035b80-2cae-4edf-b283-44ef470c3f8c,https://openaccess-cdn.clevelandart.org/1951.454/1951.454_full.tif,TCMA-1910,"Georges de La Tour (French, 1593–1652)"
"La Cervara, the Roman Campagna",1830,1831,oil on fabric,Painting,"{'framed': {'height': 1.3, 'width': 1.675, 'depth': 0.095}, 'unframed': {'height': 0.976, 'width': 1.358}}",TCMA-1817e1e0-d8e0-4de8-bc94-76cd76a3c8a6,https://openaccess-cdn.clevelandart.org/1963.91/1963.91_full.tif,TCMA-1588,"Jean Baptiste Camille Corot (French, 1796–1875)"
Icon of the New Testament Trinity,1445,1455,Tempera and gold on wood panel (poplar),Painting,"{'No Extent Specified': {'height': 0.355, 'width': 0.625, 'depth': 0.027}}",TCMA-5922c815-abed-4195-930e-bb9e30e1a76c,https://openaccess-cdn.clevelandart.org/2016.32/2016.32_full.tif,,
Interior of a Church,1675,1685,oil on canvas,Painting,"{'framed': {'height': 0.895, 'width': 0.805, 'depth': 0.065}, 'unframed': {'height': 0.62, 'width': 0.54}}",TCMA-28f23065-8ded-456c-afcf-26b76737d8cb,https://openaccess-cdn.clevelandart.org/1971.1/1971.1_full.tif,TCMA-2832,"Emanuel de Witte (Dutch, c. 1617–1692)"
Portrait of Tieleman Roosterman,1634,1634,oil on canvas,Painting,"{'framed': {'height': 1.39, 'width': 1.09, 'depth': 0.055}, 'unframed': {'height': 1.17, 'width': 0.87}}",TCMA-35c24886-1eb2-4e83-9d32-208efc3c8824,https://openaccess-cdn.clevelandart.org/1999.173/1999.173_full.tif,TCMA-2614,"Frans Hals (Dutch, c. 1581–1666)"
Basket of Plums,1769,1769,oil on canvas,Painting,"{'unframed': {'height': 0.38, 'width': 0.462}}",TCMA-51b80fe6-e9e3-4cd8-bc07-6cc1ea3f9637,https://openaccess-cdn.clevelandart.org/1971.47/1971.47_full.tif,TCMA-1978,"Anne Vallayer-Coster (French, 1744–1818)"
A Bridal Couple,1465,1475,oil on panel,Painting,"{'framed': {'height': 0.775, 'width': 0.51, 'depth': 0.081}, 'unframed': {'height': 0.623, 'width': 0.365}}",TCMA-8ef0959d-ba4e-404a-9139-b0dbc195f9af,https://openaccess-cdn.clevelandart.org/1932.179/1932.179_full.tif,,
Café Wepler,1908,1912,oil on fabric,Painting,"{'framed': {'height': 0.918, 'width': 1.327, 'depth': 0.13}, 'unframed': {'height': 0.622, 'width': 1.032}}",TCMA-ffafdfc1-588f-4243-b4cd-62a08bbf1811,https://openaccess-cdn.clevelandart.org/1950.90/1950.90_full.tif,TCMA-1833,"Edouard Vuillard (French, 1868–1940)"
Wrestlers in a Circus,1909,1909,oil on canvas,Painting,"{'framed': {'height': 1.075, 'width': 1.21, 'depth': 0.07}, 'unframed': {'height': 0.805, 'width': 0.94}}",TCMA-9b1e7663-3685-48e1-b0b6-239136b7726f,https://openaccess-cdn.clevelandart.org/1966.49/1966.49_full.tif,TCMA-3155,"Ernst Ludwig Kirchner (German, 1880–1938)"
"Mount Starr King, Yosemite",1866,1866,oil on canvas on panel-back stretcher,Painting,"{'framed': {'height': 1.353, 'width': 1.81, 'depth': 0.156}, 'unframed': {'height': 0.97, 'width': 1.423}, 'former': {'height': 1.353, 'width': 1.803, 'depth': 0.159}}",TCMA-e01f46a3-284e-49be-8649-321f20ea00e3,https://openaccess-cdn.clevelandart.org/1922.684/1922.684_full.tif,TCMA-3011,"Albert Bierstadt (American, 1830–1902)"
Elizabeth Beltzhoover Mason,1798,1810,oil on canvas,Painting,"{'framed': {'height': 0.9, 'width': 0.78, 'depth': 0.08}, 'unframed': {'height': 0.738, 'width': 0.61}}",TCMA-dbd6d4a5-d989-48ff-983c-2915f9c70fc9,https://openaccess-cdn.clevelandart.org/1921.428/1921.428_full.tif,TCMA-2556,"Gilbert Stuart (American, 1755–1828)"
Crucifix with Scenes of the Passion,1225,1245,tempera with gold on panel,Painting,"{'framed': {'height': 1.866, 'width': 1.607, 'depth': 0.127}, 'unframed': {'height': 1.85, 'width': 1.6, 'depth': 0.102}}",TCMA-fc75d047-d7aa-4fce-9186-b3fe3da1164b,https://openaccess-cdn.clevelandart.org/1995.5/1995.5_full.tif,,
Early Morning After a Storm at Sea,1900,1903,oil on canvas,Painting,"{'framed': {'height': 1.11, 'width': 1.6, 'depth': 0.12}, 'unframed': {'height': 0.768, 'width': 1.27}}",TCMA-5a5f2305-4905-45ab-a46d-4d3280dffe5e,https://openaccess-cdn.clevelandart.org/1924.195/1924.195_full.tif,TCMA-3143,"Winslow Homer (American, 1836–1910)"
A Hare and a Leg of Lamb,1742,1742,oil on canvas,Painting,"{'framed': {'height': 1.18, 'width': 0.925, 'depth': 0.06}, 'unframed': {'height': 0.982, 'width': 0.735}}",TCMA-8731975b-a69d-4e5c-8283-d097ddadeb10,https://openaccess-cdn.clevelandart.org/1969.53/1969.53_full.tif,TCMA-1949,"Jean-Baptiste Oudry (French, 1686–1755)"
Two Poplars in the Alpilles near Saint-Rémy,1889,1889,oil on fabric,Painting,"{'framed': {'height': 0.81, 'width': 0.667, 'depth': 0.073}, 'unframed': {'height': 0.616, 'width': 0.457}, 'No Extent Specified': {}}",TCMA-24586693-cc79-49b7-a86d-8e99e00b52ec,https://openaccess-cdn.clevelandart.org/1958.32/1958.32_full.tif,TCMA-1779,"Vincent van Gogh (Dutch, 1853–1890)"
Danaë,1618,1628,oil on canvas,Painting,"{'framed': {'height': 2.025, 'width': 2.7, 'depth': 0.09}, 'unframed': {'height': 1.62, 'width': 2.285}}",TCMA-c59e464a-998b-4ca0-87e7-b752afe7d6df,https://openaccess-cdn.clevelandart.org/1971.101/1971.101_full.tif,TCMA-2175,"Orazio Gentileschi (Italian, 1563–1639)"
Icon of the Mother of God and Infant Christ (Virgin Eleousa),1420,1455,tempera and gold on wood,Painting,"{'unframed': {'height': 0.96, 'width': 0.7}}",TCMA-c0154650-ab1c-4307-80e3-3e8a62076528,https://openaccess-cdn.clevelandart.org/2010.154/2010.154_full.tif,TCMA-59748,"Angelos Akotantos (Cretan, died 1450)"
"Mountain Market, Clear with Rising Mist",1500,1550,Hanging scroll; ink on silk,Painting,"{'overall': {'height': 1.79, 'width': 0.707}, 'painting only': {'height': 1.146, 'width': 0.599}, 'painting': {'height': 1.153, 'width': 0.6}, 'overall with knobs and cord': {'height': 1.818, 'width': 0.77}}",TCMA-445863e8-b198-4c4a-b453-197e6d596eff,https://openaccess-cdn.clevelandart.org/2015.517/2015.517_full.tif,,
Samuel Williams,1812,1827,oil on canvas,Painting,"{'framed': {'height': 1.725, 'width': 1.425, 'depth': 0.14}, 'unframed': {'height': 1.422, 'width': 1.118}}",TCMA-e2f1e28f-2623-44ad-ae41-311367305a4d,https://openaccess-cdn.clevelandart.org/1965.474/1965.474_full.tif,TCMA-2706,"Washington Allston (American, 1779–1843)"
Saint Jerome,1638,1640,oil on canvas,Painting,"{'framed': {'height': 1.5, 'width': 1.215, 'depth': 0.09}, 'unframed': {'height': 1.29, 'width': 1.003}}",TCMA-943f4929-b8be-4cca-9835-1d9c1329c1cb,https://openaccess-cdn.clevelandart.org/1961.219/1961.219_full.tif,TCMA-2403,"Jusepe de Ribera (Spanish, 1591–1652)"
Romaine Lacaux,1864,1864,oil on fabric,Painting,"{'framed': {'height': 1.067, 'width': 0.892, 'depth': 0.089}, 'unframed': {'height': 0.813, 'width': 0.65}}",TCMA-ed6f6818-167e-44fd-babb-95d1f1111044,https://openaccess-cdn.clevelandart.org/1942.1065/1942.1065_full.tif,TCMA-1765,"Pierre-Auguste Renoir (French, 1841–1919)"
The Call,1902,1902,oil on fabric,Painting,"{'framed': {'height': 1.605, 'width': 1.19, 'depth': 0.095}, 'unframed': {'height': 1.313, 'width': 0.895}}",TCMA-a0a81ce5-f031-435c-9f61-3d4f9b60e8f7,https://openaccess-cdn.clevelandart.org/1943.392/1943.392_full.tif,TCMA-1776,"Paul Gauguin (French, 1848–1903)"
The Kiss of Peace and Justice,1654,1654,oil on canvas,Painting,"{'framed': {'height': 0.685, 'width': 0.89, 'depth': 0.065}, 'unframed': {'height': 0.549, 'width': 0.762}}",TCMA-1a422738-2aa7-4852-a79b-a06d06c1d364,https://openaccess-cdn.clevelandart.org/1971.102/1971.102_full.tif,TCMA-1882,"Laurent de La Hyre (French, 1606–1656)"
George III,1783,1783,oil on canvas,Painting,"{'framed': {'height': 1.52, 'width': 1.27, 'depth': 0.095}, 'unframed': {'height': 1.265, 'width': 1.01}}",TCMA-c5dd42a7-16dc-4b68-9cea-5f41c91f26c8,https://openaccess-cdn.clevelandart.org/1952.17/1952.17_full.tif,TCMA-2553,"Benjamin West (American, 1738–1820)"
Scenes of Witchcraft: Evening,1640,1654,oil on canvas,Painting,"{'framed': {'width': 0.762, 'depth': 0.096}, 'unframed': {'width': 0.545}}",TCMA-9578ea7a-8c32-4902-82f0-4fc7e0564fbb,https://openaccess-cdn.clevelandart.org/1977.37.3/1977.37.3_full.tif,TCMA-2285,"Salvator Rosa (Italian, 1615–1673)"
Virgin and Child,1470,1480,oil on wood,Painting,"{'framed': {'height': 0.413, 'width': 0.314, 'depth': 0.041}, 'unframed': {'height': 0.315, 'width': 0.22}}",TCMA-9ea14c9a-40dd-43ac-b602-ffc6fa3a2453,https://openaccess-cdn.clevelandart.org/1934.29/1934.29_full.tif,TCMA-2984,"Hans Memling (Netherlandish, 1494)"
