title,artist_display,date_display,creation_year_start,creation_year_end,medium,classification,artist_id,location,description,short_description,dimension,artwork_id,full_image_url
Altarpiece from Thuison-les-Abbeville: Saint Honoré,French (Picardy),1490/1500,1490.0,1500.0,Oil on panel,Painting,ARTIC-46234,France,"<p>This panel was once part of the <a href=""https://www.artic.edu/collection?q=panels+from+the+high+altar&artist_ids=French+School&classification_ids=oil+on+panel"">altarpiece</a> decorating the high altar of the Carthusian monastery at Thuison, outside of Abbeville in northern France. Four saints standing in niches were painted on the exterior of the altarpiece’s wings. When the wings were open, the interior of the altarpiece told the story of Christ’s Passion and Resurrection through painted narratives on the inside of the wings and painted and gilded carvings in the central shrine whose central subject was undoubtedly the Crucifixion. The carvings have not survived.  The fronts and backs of the wings were sawn apart in the mid 19th century; all the wing panels except one narrative (The Entry into Jerusalem, Hermitage, Saint Petersburg) are in the Art Institute.</p>
<p>A rich border region north of Paris, Picardy was a possession of the Burgundian Netherlands in the mid-15th century, becoming part of France in 1477. Its painters were strongly influenced by artists from the neighboring provinces of the Low Countries, among them Rogier van der Weyden and Simon Marmion.</p>
",,Panel: 117 × 51.1 cm (46 1/16 × 20 1/8 in.); Painted Surface: 115.5 × 49.5 cm (45 1/2 × 19 1/2 in.),ARTIC-932f72b9-800d-dbb4-9f5c-3071be1476b1,https://www.artic.edu/iiif/2/932f72b9-800d-dbb4-9f5c-3071be1476b1/full/max/0/default.jpg
Portrait of Ichikawa Danjuro II as Kamakura no Gongorô,"Furuyama Moromasa (Japanese, c. 1712-1772)",1736,1731.0,1741.0,Hanging scroll; Ink and color on silk,Painting,ARTIC-35837,Japan,,,61 × 29.1 cm (24 × 11 7/16 in.); Overall with mount and knobs: 153.7 × 46.7 cm (60 1/2 × 18 3/8 in.),ARTIC-9ce3ae9a-0990-9620-e4ab-3bcdc248566b,https://www.artic.edu/iiif/2/9ce3ae9a-0990-9620-e4ab-3bcdc248566b/full/max/0/default.jpg
Civil War Regalia of Major Levi Gheen McCauley,"George Cope (American, 1855-1929)",1887,1887.0,1887.0,Oil on canvas,Painting,ARTIC-52958,United States,"<p>George Cope was commissioned in 1887 by his friend Levi McCauley of West Chester, Pennsylvania, to commemorate Major McCauley’s service in the Civil War. He depicted the ensemble of military artifacts in a style known as trompe l’oeil (French for “fools the eye”). With its shallow backdrop, precisely rendered objects—including swords, medals, a leather belt and buckle, a Major’s kepi (hat), and a holster—and accompanying shadows, the composition is convincing in its illusionism, drawing viewers in for a closer look.</p>
",,127 × 92.7 cm (50 × 36 1/2 in.),ARTIC-5bfd7409-b07d-dd6d-8f11-1ebb3ca034e5,https://www.artic.edu/iiif/2/5bfd7409-b07d-dd6d-8f11-1ebb3ca034e5/full/max/0/default.jpg
Apollo Granting Phaeton Permission to Drive the Chariot of the Sun,"Johann Michael Rottmayr (Austrian, 1654-1730)",1690/95,1690.0,1695.0,Oil on canvas,Painting,ARTIC-42097,Austria,,,81.3 × 125.2 cm (32 × 49 1/2 in.),ARTIC-c5e50da8-6bff-ea02-ed3c-c154b356cceb,https://www.artic.edu/iiif/2/c5e50da8-6bff-ea02-ed3c-c154b356cceb/full/max/0/default.jpg
Bacchic Revels,"Johann Georg Platzer (Austrian, 1704-1761)",c. 1740,1735.0,1745.0,Oil on copper,Painting,ARTIC-20709,Austria,,,18.5 × 25.9 cm (7 1/4 × 10 3/8 in.),ARTIC-4346487d-e18a-d27e-76c1-7529c7f53742,https://www.artic.edu/iiif/2/4346487d-e18a-d27e-76c1-7529c7f53742/full/max/0/default.jpg
"Sandvika, Norway","Claude Monet (French, 1840-1926)",1895,1895.0,1895.0,Oil on canvas,Painting,ARTIC-35809,France,"<p>Claude Monet’s trip to Norway in 1895 was perhaps the most physically taxing of all his many painting campaigns. Touring the country with his stepson Jacques Hoschedé, who lived in Christiania (now Oslo), he was awestruck but initially frustrated in his search for good motifs amid the snow. Nevertheless, he painted 29 Norwegian scenes during a two-month stay. These included at least six views of Sandvika, a village near Christiania whose iron bridge may have reminded Monet of the Japanese bridge at his home in Giverny.</p>
",,73.4 × 92.5 cm (28 7/8 × 36 3/8 in.),ARTIC-07d8dd31-d44b-85aa-ab09-ca51ee86f631,https://www.artic.edu/iiif/2/07d8dd31-d44b-85aa-ab09-ca51ee86f631/full/max/0/default.jpg
Stack of Wheat,"Claude Monet (French, 1840-1926)",1890/91,1890.0,1891.0,Oil on canvas,Painting,ARTIC-35809,France,"<p>The monumental stacks that Claude Monet depicted in his series <a href=""https://www.youtube.com/watch?v=NFPs_cRRGdM&feature=youtu.be""><em>Stacks of Wheat</em></a> rose fifteen to twenty feet and stood just outside the artist’s farmhouse at Giverny. Through 1890 and 1891, he worked on this series both in the field, painting simultaneously at several easels, and in the studio, refining pictorial harmonies. In May 1891, Monet hung fifteen of these canvases next to each other in one small room in the Galerie Durand-Ruel in Paris. An unprecedented critical and financial success, the exhibition marked a breakthrough in Monet’s career, as well as in the history of French art. In this view, and in nearly all of the autumn views in the series, the conical tops of the stacks break the horizon and push into the sky. But in most of the winter views, which constitute the core of the series, the stacks seem wrapped by bands of hill and field, as if bedded down for the season. For Monet, the stack was a resonant symbol of sustenance and survival. He followed this group with further series depicting poplars, the facade of Rouen Cathedral, and, later, his own garden at Giverny. The Art Institute has the largest group of Monet’s <em>Stacks of Wheat</em> in the world.</p>
","Through 1890 and 1891, Monet created a series of paintings depicting the stacks of wheat that stood outside his farmhouse in Giverny. These stacks were, for the artist, a symbol of sustenance and survival. He painted at several easels simultaneously in the field and then refined pictorial harmonies in the studio. The Art Institute has the world's largest group of Monet’s Stacks of Wheat.",65.8 × 92.3 cm (25 15/16 × 36 3/8 in.),ARTIC-27c1d720-8ca5-79a4-5e51-530bf75c1591,https://www.artic.edu/iiif/2/27c1d720-8ca5-79a4-5e51-530bf75c1591/full/max/0/default.jpg
Wind-Swept Sands,"William Merritt Chase (American, 1849-1916)",1894,1894.0,1894.0,Oil on canvas,Painting,ARTIC-41673,Long Island,"<p>Between 1891 and 1902, William Merritt Chase was a highly influential teacher at the Shinnecock Summer Art School in Long Island, New York, where he painted numerous landscapes of the surrounding area. In <em>Wind-Swept Sands</em>, Chase used rapid brushstrokes to depict the dunes and vegetation, thin washes for the sky, and an overall gray tone to indicate an overcast day. Chase’s teaching method was rooted in the French Impressionist practice of painting outdoors in order to take advantage of natural light and changing weather conditions.</p>
",,87 × 101.5 cm (34 1/4 × 39 3/4 in.),ARTIC-ff5e49d3-448f-2aba-4461-6e36c1dc7dfa,https://www.artic.edu/iiif/2/ff5e49d3-448f-2aba-4461-6e36c1dc7dfa/full/max/0/default.jpg
The Music Lesson,"Gerard ter Borch (Dutch, 1617-1681)",c. 1670,1665.0,1675.0,Oil on canvas,Painting,ARTIC-25652,Netherlands,"<p>Gerard ter Borch specialized in small-scale portraits and scenes of everyday life. He often painted images like this one, featuring military officers and elegant young women conversing, making music, or exchanging letters. Here, a lady plays an elaborate stringed instrument, the double-headed lute, while her companion marks the tempo for her. He is presumably her music instructor, but the similarity in their ages and the presence of the bed in the background make the precise relationship of the figures tantalizingly ambiguous.</p>
",,63.6 × 50.4 cm (25 × 19 7/8 in.),ARTIC-c6d153e4-bf86-24f4-c1a3-a9f2424919ff,https://www.artic.edu/iiif/2/c6d153e4-bf86-24f4-c1a3-a9f2424919ff/full/max/0/default.jpg
Nubian Woman,"Jules-Robert Auguste (French, 1789-1850)",1825/30,1820.0,1830.0,Oil on panel,Painting,ARTIC-1245,France,,,34.5 × 26 cm (15 × 10 3/8 in.),ARTIC-93d95655-0b4e-b5b4-36b5-5fe8f84d5549,https://www.artic.edu/iiif/2/93d95655-0b4e-b5b4-36b5-5fe8f84d5549/full/max/0/default.jpg
Pavilion of Eight Poems 八詠樓詩畫,"Chen Chun 陳淳 (Chinese, 1483-1544)","Ming dynasty (1368–1644), dated 1538",1368.0,1644.0,Handscroll; ink on paper,Painting,ARTIC-4311,China,,,Painting: 25.4 × 122 cm (10 × 48 in.); Calligraphy: 25.4 × 419.1 cm (10 × 165 in.),ARTIC-7eeb9d38-a1f4-47b4-b335-654fdd20b1bb,https://www.artic.edu/iiif/2/7eeb9d38-a1f4-47b4-b335-654fdd20b1bb/full/max/0/default.jpg
"Venus, Cupid and Ceres","Cornelis Cornelisz van Haarlem (Dutch, 1562-1638)",1604,1604.0,1604.0,Oil on canvas,Painting,ARTIC-41255,Netherlands,"<p>A newly discovered work by Cornelis Cornelisz. van Haarlem, this colorful painting interprets the ancient witticism, “Without food and drink, love grows cold.” Venus, Roman goddess of love, is joined by Cupid and Ceres, goddess of grain; Bacchus, god of wine, is present symbolically through the grapes. The supple, translucent flesh demonstrates the interest in naturalism that blossomed in Northern Europe in the late 16th and early 17th centuries, which led artists to work increasingly “from life,” that is, from observation of models.</p>
",,96.7 × 109.2 cm (38 × 43 in.),ARTIC-1dae4ac9-d33c-56e4-06d5-985b6be3898c,https://www.artic.edu/iiif/2/1dae4ac9-d33c-56e4-06d5-985b6be3898c/full/max/0/default.jpg
Boy of Hallett Family with Lamb,"Artist unknown (American, 18th century)",1766–76,1766.0,1776.0,Oil on canvas,Painting,ARTIC-114854,United States,,,76.5 × 64.5 cm (30 3/16 × 25 3/8 in.),ARTIC-4adb181f-854b-bbcc-48ef-1382d51670bb,https://www.artic.edu/iiif/2/4adb181f-854b-bbcc-48ef-1382d51670bb/full/max/0/default.jpg
Kasuga Deer Mandala,Artist unknown (Japanese),15th century,1399.0,1499.0,"Ink, colors, and gold on silk",Painting,ARTIC-23819,Japan,,,125.6 × 51.1 cm (49 1/2 × 20 1/8 in.),ARTIC-97d81945-a05e-2a05-a78d-73678bbd2d55,https://www.artic.edu/iiif/2/97d81945-a05e-2a05-a78d-73678bbd2d55/full/max/0/default.jpg
Saint John the Baptist in the Wilderness,"Diego Velázquez (Spanish, 1599-1660)",c. 1622,1617.0,1627.0,Oil on canvas,Painting,ARTIC-41188,Seville,"<p>This painting depicts a young Saint John the Baptist living as a hermit in the wilderness. His cross of reeds, pointing gesture, and the nearby lamb refer to his role as a prophet foretelling the coming of Christ, the so-called “lamb of God,” in the New Testament.</p>
<p>Previously attributed to an unknown Sevillian artist, this painting has recently been recognized as the work of a young Diego Velázquez. The treatment of the saint is more idealized than figures in Velázquez’s earliest work, suggesting that it may have been made after his brief visit to Madrid in 1622, where Italian paintings in the royal collection exposed him to new ways of depicting the human figure.</p>
",,175.3 × 152.5 cm (69 × 60 in.),ARTIC-da3e9da7-09ed-412c-16b0-8ceedd38571f,https://www.artic.edu/iiif/2/da3e9da7-09ed-412c-16b0-8ceedd38571f/full/max/0/default.jpg
"Manuchehr Kills Tur, Manuscript from Shahnama",Iran,"Safavid dynasty (1501–1722), 16th century, dated 1580/1590",1580.0,1590.0,"Ink, opaque watercolor and gold on paper",Painting,,Shiraz,,,27.3 × 14.6 cm (10 3/4 × 5 3/4 in.),ARTIC-05a04f09-89b6-5894-4a04-95614d87fb5f,https://www.artic.edu/iiif/2/05a04f09-89b6-5894-4a04-95614d87fb5f/full/max/0/default.jpg
The Flight into Egypt,"Butinone, Bernardino (Italian, c. 1450-before November 1510)",c. 1485,1480.0,1490.0,Tempera on panel (poplar),Painting,ARTIC-3746,Italy,,,Panel: 25.6 × 22 cm (10 1/8 × 8 11/16 in.); Painted Surface: 25.2 × 21.8 cm (9 15/16 × 8 1/2 in.); With Frame: 30.5 × 25.4 cm (12 × 10 in.),ARTIC-660278f5-2186-0999-3846-fd88a2071ce0,https://www.artic.edu/iiif/2/660278f5-2186-0999-3846-fd88a2071ce0/full/max/0/default.jpg
Branch of the Seine near Giverny (Mist),"Claude Monet (French, 1840-1926)",1897,1897.0,1897.0,Oil on canvas,Painting,ARTIC-35809,France,"<p>Claude Monet painted the 18 works in his Mornings on the Seine series from a flat-bottomed boat anchored to the riverbank where the Epte River flows into the Seine. There, as the light changed from dawn to day, he worked on one canvas after another. To keep them in order, he numbered them, placed them in grooves built into the boat, and had the gardener whom he enlisted as his assistant hand them to him.</p>
",,89.9 × 92.7 cm (35 3/8 × 36 1/2 in.),ARTIC-838d8c33-a3b4-68ea-587b-87ceec2011af,https://www.artic.edu/iiif/2/838d8c33-a3b4-68ea-587b-87ceec2011af/full/max/0/default.jpg
Landscape with Scholar in Thatched Cottage,"Artist unknown (Chinese, 17th-18th century)",Qing dynasty (1644-1911),1601.0,1800.0,Hanging scroll mounted on a panel and framed; ink and light color on paper,Painting,,China,,,77.2 × 29.8 cm (30 3/8 × 11 3/4 in.),,https://www.artic.edu/iiif/2/None/full/max/0/default.jpg
The Sacrifice of Polyxena,"Giulio Carpioni (Italian, 1613-1678)",c. 1650,1645.0,1655.0,Oil on canvas,Painting,ARTIC-4098,Venice,,,55.7 × 71 cm (21 15/16 × 27 15/16 in.),ARTIC-d0cbcbff-7858-c6a4-e12a-4b691f21ca6d,https://www.artic.edu/iiif/2/d0cbcbff-7858-c6a4-e12a-4b691f21ca6d/full/max/0/default.jpg
The Shadow of Death,"William Holman Hunt (English, 1827-1910)",1873-74,1873.0,1874.0,Oil on panel,Painting,ARTIC-40975,,"<p>This minutely detailed painting depicts the young Jesus stretching after his day’s labor in his father’s carpentry shop. His mother, kneeling behind him, looks up at the shadow her son casts on the rear wall, which seems to prefigure his crucifixion. Like other members of the Pre-Raphaelite Brotherhood, the art movement he helped found, William Holman Hunt was committed to direct observation of nature, and he sought to illustrate biblical subjects with archaeological exactitude.</p>
<p>This work is the third and final version of a composition the artist began in Palestine and Jerusalem in 1869, where he could study the setting from life. It was commissioned by the London dealers Thomas Agnew &amp; Sons as the model for a print. The Art Institute’s collection also includes an <a href=""https://www.artic.edu/artworks/148402/the-shadow-of-death""> early proof of that print</a>.</p>
<p>The painting teems with symbolism. For example, the star-shaped aperture above the window recalls the light that guided the Magi to the newborn Jesus, while wood shavings and carpentry tools anticipate the instruments of his death, nails and a wooden cross. The bright red headdress in the lower-right corner foreshadows the crown of thorns he was forced to wear before his execution.</p>
",,104.5 × 82 cm (41 × 32 1/4 in.),ARTIC-8bf9b3a3-cb6f-3e13-f817-a3964dd5cb3c,https://www.artic.edu/iiif/2/8bf9b3a3-cb6f-3e13-f817-a3964dd5cb3c/full/max/0/default.jpg
Madam Pompadour,"Amedeo Modigliani (Italian, 1884-1920)",1915,1915.0,1915.0,Oil on canvas,Painting,ARTIC-35801,Italy,"<p>Born of Jewish parents in the Italian coastal town of Leghorn, Amedeo Modigliani settled in Paris in 1906, where he developed friendships with <a href=""https://www.artic.edu/artists/36198""> Pablo Picasso </a>, the poet Max Jacob, the sculptor <a href=""https://www.artic.edu/artists/33735""> Constantin Brancusi</a>, and other members of the literary and artistic avant-garde, many of whom appear in his portraits. He led a notoriously bohemian life, shortened by a self-destructive use of alcohol and drugs. Modigliani produced his finest paintings between 1914 and his premature death in 1920. Within a limited range of subjects, mainly portraits and nudes, he developed a highly distinctive style of sensitively elongated forms.<br>In this portrait, Modigliani's emphasis is on a strong formal structure dominated by the grid in the background and the echoing curves of the sitter's hat, shoulders, and features. There is none of the pathos often associated with his work. The artist seems instead to have invested this portrait with a note of ironic detachment, even humor, reflected in both the title of the painting (which refers to Madame de Pompadour, mistress of King Louis XV of France) and the expression of amused inscrutability worn by the sitter. Were painter and sitter perhaps both amused by the flamboyant hat? Modigliani's skill in rhyming forms, while at the same time keeping us visually interested and slightly off-balance, is evident throughout the picture, which resonates with the lessons of <a href=""https://www.artic.edu/artists/40482""> Paul Cezanne</a>, Cubism, and African sculpture.<br>The sitter for this portrait may well have been Beatrice Hastings, an English poetess who was Modigliani's mistress at the time. Because of the artist's tendency to generalize his sitter's features, however, a comparison of this portrait with others of Hastings is inconclusive.<br>—Entry,  Margherita Andreotti, <em>Art Institute of Chicago Museum Studies</em>, Vol. 20, No. 2, The Joseph Winterbotham Collection at The Art Institute of Chicago (1994), p. 150-151.</p>
",,61.1 × 50.2 cm (24 1/16 × 19 3/4 in.),ARTIC-fdc1a755-ff86-487d-f16b-f03c40a30bee,https://www.artic.edu/iiif/2/fdc1a755-ff86-487d-f16b-f03c40a30bee/full/max/0/default.jpg
Study Head of a Bearded Man,"Frans Floris (Netherlandish, 1519/20-1570)",c. 1565,1550.0,1580.0,Oil on panel,Painting,ARTIC-40579,Flanders,"<p>In the upper-left corner of this painting, just barely visible against the black background, a monogram reading <em>FFF</em> identifies the artist as Frans Floris, who operated a large and influential workshop in Antwerp. This panel served as a head study (possibly of Hercules), a technique Floris often used to work through expressions and characters for finished compositions. His practice anticipated the tronie—Dutch for “head”—studies popular in the 17th century among artists such as <a href=""https://www.artic.edu/artists/40769/rembrandt-van-rijn"">Rembrandt</a> and <a href=""https://www.artic.edu/artists/36487/peter-paul-rubens"">Peter Paul Rubens</a>.</p>
",,46.5 × 33.6 cm (18 5/16 × 13 1/4 in.),ARTIC-34ecfe47-70cc-7f1d-fc4d-af7ba35a570c,https://www.artic.edu/iiif/2/34ecfe47-70cc-7f1d-fc4d-af7ba35a570c/full/max/0/default.jpg
Ksitigarbha Bodhisattva with Assembly,Korea,late 16th/early 17th century,1501.0,1700.0,Ink and color on hemp cloth,Painting,,Korea,"<p>This painting of Kshitigarbha (Jijang Bosal in Korean,) flanked by the Ten Kings of Hell and guardian deities, reflects the prevalence of faith in Kshitigarbha in Korean Buddhism. Kshitigarbha is the overlord of the Buddhist underworld who has the ability to save sentient beings from hell. Whereas Buddhism enjoyed the royal patronage during the Goryeo period, it became the religion of the masses in the late Joseon period, resulting in stylistic changes in Buddhist painting. Instead of expensive gold or lapis lazuli, red and green became the main palette; more affordable materials such as paper, cotton, or hemp were chosen over silk; and depicted robes show simpler treatment with little to no decoration.</p>
",,155.6 × 230.5 cm (90 3/4 × 61 1/4 in.),ARTIC-5f9e4780-c8c7-122d-a260-aa0d94854016,https://www.artic.edu/iiif/2/5f9e4780-c8c7-122d-a260-aa0d94854016/full/max/0/default.jpg
An Actor on Stage,Artist unknown (Japanese),"Edo period, 1720–1730",1715.0,1735.0,Album sheet mounted as hanging scroll. Ink and colors on paper,Painting,,Japan,,,31.6 × 21.7 cm (12 1/2 × 8 9/16 in.),ARTIC-e5d45eb2-7c2a-90bd-e115-77b35a877b5f,https://www.artic.edu/iiif/2/e5d45eb2-7c2a-90bd-e115-77b35a877b5f/full/max/0/default.jpg
Two Scholar-Musicians in a Landscape,"Artist unknown (Chinese, active 15th century)","Ming dynasty (1368–1644), 15th century",1401.0,1500.0,Hanging scroll; ink and color on silk,Painting,,China,,,173.5 × 105.5 cm (68 5/16 × 41 9/16 in.),ARTIC-4fe8c931-0695-92f5-f974-b93ddb1ea02f,https://www.artic.edu/iiif/2/4fe8c931-0695-92f5-f974-b93ddb1ea02f/full/max/0/default.jpg
Jesus Mocked by the Soldiers,"Édouard Manet (French, 1832-1883)",1865,1865.0,1865.0,Oil on canvas,Painting,ARTIC-35577,France,"<p>For this monumental painting, Édouard Manet depicted Jesus Christ at the end of his life, beaten and awaiting crucifixion. The Roman soldiers force him to don a crown of thorns and proffer a reed “scepter” and purple cloak, all intended to ridicule him as “King of the Jews,” a title bestowed ironically by his tormenters. Manet, who painted very few religious subjects, transformed this sacred narrative into a gritty drama that marries realism with theatricality. Shown without a halo, Jesus glows against the dark background. Is he a holy being emanating divine light or a real man posing under a studio spotlight? The painting caused a scandal in its own time for precisely this ambiguity.</p>
",,190.8 × 148.3 cm (74 7/8 × 58 3/8 in.),ARTIC-4d03ba14-a01a-d003-404a-cf3f9fb40ede,https://www.artic.edu/iiif/2/4d03ba14-a01a-d003-404a-cf3f9fb40ede/full/max/0/default.jpg
"Zal and Rudaba in a Palace, page from a copy of the Shahnama of Firdausi",Iran,"Timurid dynasty (ca. 1370–1507), 1480/90",1475.0,1495.0,Opaque watercolors and ink on paper,Painting,ARTIC-29882,Iran,,,25.4 × 11.4 cm (10 × 4 1/2 in.),ARTIC-3c26a35c-5ab1-2757-1afb-23877cd9086e,https://www.artic.edu/iiif/2/3c26a35c-5ab1-2757-1afb-23877cd9086e/full/max/0/default.jpg
Self-Portrait,"Frédéric Bazille (French, 1841-1870)",1865/66,1865.0,1866.0,Oil on canvas,Painting,ARTIC-1854,France,"<p>Frédéric Bazille was in his mid-20s when he executed this startlingly direct self-portrait. Depicted against a dark background with only his palette and brushes to indicate his profession, he looks at the viewer as if caught unawares. The unseen easel and canvas must be located immediately in front of the artist and to our left.</p>
<p>During his brief career, which ended when he was killed in the line of duty during the Franco-Prussian War, Frédéric Bazille produced about 70 paintings, 4 of them self-portraits. He created this work while sharing an apartment-studio with Claude Monet and experimenting with new painting techniques that would be central to the Impressionist movement. It was both a practice piece (in which Bazille observed and painted his reversed image as seen in a mirror) and, given his recent decision to abandon a medical career in favor of art, a professional manifesto.</p>
",,108.9 × 71.1 cm (42 7/8 × 28 3/8 in.),ARTIC-eb2cd58f-db63-0236-cebd-7ca8e63eda54,https://www.artic.edu/iiif/2/eb2cd58f-db63-0236-cebd-7ca8e63eda54/full/max/0/default.jpg
John Nicholson,"Charles Willson Peale (American, 1741-1827)",1790,1790.0,1790.0,Oil on canvas,Painting,ARTIC-36153,Philadelphia,,,91.5 × 70 cm (36 × 27 1/2 in.),ARTIC-458eeba4-a37b-2fc1-e458-3a95f57f4f1c,https://www.artic.edu/iiif/2/458eeba4-a37b-2fc1-e458-3a95f57f4f1c/full/max/0/default.jpg
