objectid,locationid,title,date_start,date_end,medium,dimensions,classification,constituentid,forwarddisplayname,lastname,displaydate,artist_beginyear,artist_endyear,nationality,wikidataid,roletype,role,uuid,viewtype,maxpixels,depictstmsobjectid,artist_display,url,image_id
87,8357.0,Pope Innocent X,1650.0,1650.0,Oil on canvas,"overall: 49.2 x 41.3 cm (19 3/8 x 16 1/4 in.)
framed: 78.4 x 69.5 cm (30 7/8 x 27 3/8 in.)",Painting,1950,Diego Velázquez,Velázquez,"Spanish, 1599 - 1660",1599.0,1660.0,Spanish,Q297,artist,related artist,da9c1054-627f-4caf-bbdc-4faf97a779a8,primary,,87,"Possibly Diego Velázquez (Spanish, 1599-1660)",https://api.nga.gov/iiif/da9c1054-627f-4caf-bbdc-4faf97a779a8/full/max/0/default.jpg,NGA-da9c1054-627f-4caf-bbdc-4faf97a779a8
89,,Portrait of a Young Man,1650.0,1650.0,Oil on canvas,"overall: 59.5 x 47.8 cm (23 7/16 x 18 13/16 in.)
framed: 87.15 x 75.25 cm (34 5/16 x 29 5/8 in.)",Painting,13,Anonymous Artist,Anonymous Artist,,,,Unknown,Q4233718,artist,painter,1bd606b9-f58c-4d40-8514-f53c63e37dbd,primary,,89,Anonymous Artist,https://api.nga.gov/iiif/1bd606b9-f58c-4d40-8514-f53c63e37dbd/full/max/0/default.jpg,NGA-1bd606b9-f58c-4d40-8514-f53c63e37dbd
89,,Portrait of a Young Man,1650.0,1650.0,Oil on canvas,"overall: 59.5 x 47.8 cm (23 7/16 x 18 13/16 in.)
framed: 87.15 x 75.25 cm (34 5/16 x 29 5/8 in.)",Painting,1950,Diego Velázquez,Velázquez,"Spanish, 1599 - 1660",1599.0,1660.0,Spanish,Q297,artist,related artist,1bd606b9-f58c-4d40-8514-f53c63e37dbd,primary,,89,"Possibly Diego Velázquez (Spanish, 1599-1660)",https://api.nga.gov/iiif/1bd606b9-f58c-4d40-8514-f53c63e37dbd/full/max/0/default.jpg,NGA-1bd606b9-f58c-4d40-8514-f53c63e37dbd
90,,Saint Ildefonso,1603.0,1614.0,Oil on canvas,"overall: 112 x 65.8 cm (44 1/8 x 25 7/8 in.)
framed: 135.4 x 89.9 x 6.7 cm (53 5/16 x 35 3/8 x 2 5/8 in.)",Painting,1356,El Greco,El Greco,"Greek, 1541 - 1614",1541.0,1614.0,Greek,Q301,artist,painter,a600b632-2bb6-4979-a750-85cee48c24b6,primary,,90,"El Greco (Greek, 1541-1614)",https://api.nga.gov/iiif/a600b632-2bb6-4979-a750-85cee48c24b6/full/max/0/default.jpg,NGA-a600b632-2bb6-4979-a750-85cee48c24b6
91,,Saint Martin and the Beggar,1600.0,1614.0,Oil on canvas,"overall (original painted surface): 99.5 x 55 cm (39 3/16 x 21 5/8 in.)
overall (with extensions on all four sides): 104.3 x 60.3 cm (41 1/16 x 23 3/4 in.)
framed: 124.5 x 81 x 6.4 cm (49 x 31 7/8 x 2 1/2 in.)",Painting,1356,El Greco,El Greco,"Greek, 1541 - 1614",1541.0,1614.0,Greek,Q301,artist,related artist,853fd837-d70a-4d5f-856c-3dfbf5f109f5,primary,,91,"Possibly El Greco (Greek, 1541-1614)",https://api.nga.gov/iiif/853fd837-d70a-4d5f-856c-3dfbf5f109f5/full/max/0/default.jpg,NGA-853fd837-d70a-4d5f-856c-3dfbf5f109f5
91,,Saint Martin and the Beggar,1600.0,1614.0,Oil on canvas,"overall (original painted surface): 99.5 x 55 cm (39 3/16 x 21 5/8 in.)
overall (with extensions on all four sides): 104.3 x 60.3 cm (41 1/16 x 23 3/4 in.)
framed: 124.5 x 81 x 6.4 cm (49 x 31 7/8 x 2 1/2 in.)",Painting,49421,Greek 16th Century,Greek 16th Century,,,,,,artist,painter,853fd837-d70a-4d5f-856c-3dfbf5f109f5,primary,,91,Greek 16th Century,https://api.nga.gov/iiif/853fd837-d70a-4d5f-856c-3dfbf5f109f5/full/max/0/default.jpg,NGA-853fd837-d70a-4d5f-856c-3dfbf5f109f5
111,8525.0,Miss Juliana Willoughby,1781.0,1783.0,Oil on canvas,overall: 92.1 x 71.5 cm (36 1/4 x 28 1/8 in.),Painting,1835,George Romney,Romney,"British, 1734 - 1802",1734.0,1802.0,British,Q371280,artist,artist,0e4c968b-f73e-47b0-ac08-6cb2482e5881,primary,,111,"George Romney (British, 1734-1802)",https://api.nga.gov/iiif/0e4c968b-f73e-47b0-ac08-6cb2482e5881/full/max/0/default.jpg,NGA-0e4c968b-f73e-47b0-ac08-6cb2482e5881
112,8518.0,Mrs. Davies Davenport,1782.0,1784.0,Oil on canvas,"overall: 76.5 x 64 cm (30 1/8 x 25 3/16 in.)
framed: 104.1 x 91.4 x 12.7 cm (41 x 36 x 5 in.)",Painting,1835,George Romney,Romney,"British, 1734 - 1802",1734.0,1802.0,British,Q371280,artist,artist,e7aa77ac-3add-4abc-a978-691d1b2fa3b3,primary,,112,"George Romney (British, 1734-1802)",https://api.nga.gov/iiif/e7aa77ac-3add-4abc-a978-691d1b2fa3b3/full/max/0/default.jpg,NGA-e7aa77ac-3add-4abc-a978-691d1b2fa3b3
270,,"Temporary Tribune in the Campo San Zanipolo, Venice",1782.0,1782.0,Oil on canvas,"overall: 37.5 x 31.5 cm (14 3/4 x 12 3/8 in.)
framed: 51.1 x 44.7 cm (20 1/8 x 17 5/8 in.)",Painting,1363,Francesco Guardi,Guardi,"Venetian, 1712 - 1793",1712.0,1793.0,Italian,Q318769,artist,artist,2976baa5-9b74-4a1b-9be1-c29a07cc4b1b,primary,,270,"Francesco Guardi (Venetian, 1712-1793)",https://api.nga.gov/iiif/2976baa5-9b74-4a1b-9be1-c29a07cc4b1b/full/max/0/default.jpg,NGA-2976baa5-9b74-4a1b-9be1-c29a07cc4b1b
368,,Saint Florian,1473.0,1474.0,Tempera on poplar panel,"overall: 79.4 × 55 cm (31 1/4 × 21 5/8 in.)
framed: 107.32 × 74.3 × 15.24 cm (42 1/4 × 29 1/4 × 6 in.)",Painting,1172,Francesco del Cossa,Cossa,"Ferrarese, c. 1436 - 1477/1478",1436.0,1477.0,Italian,Q454892,artist,artist,a34b93be-3903-47a5-a8ea-4915003a7ac4,primary,,368,"Francesco del Cossa (Ferrarese, c. 1436-1477/1478)",https://api.nga.gov/iiif/a34b93be-3903-47a5-a8ea-4915003a7ac4/full/max/0/default.jpg,NGA-a34b93be-3903-47a5-a8ea-4915003a7ac4
391,,The Trojans Repairing Their Ships in Sicily,1520.0,1520.0,Oil on canvas,"overall: 58.7 x 87.6 cm (23 1/8 x 34 1/2 in.)
framed: 83.2 x 112.7 x 7.9 cm (32 3/4 x 44 3/8 x 3 1/8 in.)",Painting,1237,Dosso Dossi,Dossi,"Ferrarese, active 1512 - 1542",1492.0,1542.0,Italian,Q356777,artist,painter,fcb4b064-c44a-44b6-a95f-4066903f1386,primary,,391,"Dosso Dossi (Ferrarese, active 1512-1542)",https://api.nga.gov/iiif/fcb4b064-c44a-44b6-a95f-4066903f1386/full/max/0/default.jpg,NGA-fcb4b064-c44a-44b6-a95f-4066903f1386
494,,Apollo and Marsyas,1540.0,1540.0,Oil on panel,"overall: 55.9 x 117 cm (22 x 46 1/16 in.)
framed: 75.6 x 136.2 x 8.6 cm (29 3/4 x 53 5/8 x 3 3/8 in.)",Painting,103,Michelangelo Anselmi,Anselmi,"Parmese, 1491/1492 - 1554/1556",1491.0,1556.0,Italian,Q577590,artist,painter,d6e8ed73-2643-4b5b-8fba-6761089c02bd,primary,,494,"Michelangelo Anselmi (Parmese, 1491/1492-1554/1556)",https://api.nga.gov/iiif/d6e8ed73-2643-4b5b-8fba-6761089c02bd/full/max/0/default.jpg,NGA-d6e8ed73-2643-4b5b-8fba-6761089c02bd
526,,The Apparition of the Virgin,1530.0,1540.0,Oil on panel,"overall: 199.4 x 131.1 cm (78 1/2 x 51 5/8 in.)
framed: 225.1 x 158.8 x 11.8 cm (88 5/8 x 62 1/2 x 4 5/8 in.)",Painting,1345,Girolamo da Carpi,Girolamo da Carpi,"Ferrarese, 1501 - 1556",1501.0,1556.0,Italian,Q2701846,artist,artist,a70547b2-b7c9-42ea-91b0-3b9fb3cc367e,primary,,526,"Girolamo da Carpi (Ferrarese, 1501-1556)",https://api.nga.gov/iiif/a70547b2-b7c9-42ea-91b0-3b9fb3cc367e/full/max/0/default.jpg,NGA-a70547b2-b7c9-42ea-91b0-3b9fb3cc367e
531,,The Holy Family,1527.0,1528.0,Oil on panel,"overall: 101.3 x 78.7 cm (39 7/8 x 31 in.)
framed: 147.3 x 123.2 x 8.9 cm (58 x 48 1/2 x 3 1/2 in.)",Painting,1028,Agnolo Bronzino,Bronzino,"Florentine, 1503 - 1572",1503.0,1572.0,Italian,Q7803,artist,painter,cb2fb43d-7057-4c8b-bcb7-66904ec64319,primary,,531,"Agnolo Bronzino (Florentine, 1503-1572)",https://api.nga.gov/iiif/cb2fb43d-7057-4c8b-bcb7-66904ec64319/full/max/0/default.jpg,NGA-cb2fb43d-7057-4c8b-bcb7-66904ec64319
567,,Alexander Hamilton,1806.0,1806.0,Oil on canvas,"overall: 77 x 61 cm (30 5/16 x 24 in.)
framed: 90.5 x 75.5 x 9.5 cm (35 5/8 x 29 3/4 x 3 3/4 in.)",Painting,1936,John Trumbull,Trumbull,"American, 1756 - 1843",1756.0,1843.0,American,Q369263,artist,painter,71ca4cb0-3149-4152-abca-6485ee178cb2,primary,,567,"John Trumbull (American, 1756-1843)",https://api.nga.gov/iiif/71ca4cb0-3149-4152-abca-6485ee178cb2/full/max/0/default.jpg,NGA-71ca4cb0-3149-4152-abca-6485ee178cb2
992,,Baron Graham,1804.0,1804.0,Oil on canvas,"overall: 144.8 x 118.8 cm (57 x 46 3/4 in.)
framed: 174 x 145.1 x 12.4 cm (68 1/2 x 57 1/8 x 4 7/8 in.)",Painting,1162,John Singleton Copley,Copley,"American, 1738 - 1815",1738.0,1815.0,American,Q316016,artist,painter,d3f3009b-a261-47c7-97ab-96e744f9a2d2,primary,,992,"John Singleton Copley (American, 1738-1815)",https://api.nga.gov/iiif/d3f3009b-a261-47c7-97ab-96e744f9a2d2/full/max/0/default.jpg,NGA-d3f3009b-a261-47c7-97ab-96e744f9a2d2
1107,6669.0,Matilda Caroline Cruger,1795.0,1795.0,Oil on canvas,"overall: 91.7 x 71.6 cm (36 1/8 x 28 3/16 in.)
framed: 123.2 x 102.2 x 7 cm (48 1/2 x 40 1/4 x 2 3/4 in.)",Painting,2818,American 18th Century,American 18th Century,,1700.0,1799.0,American,,artist,painter,ce1cdccd-f996-45ce-b3d4-78bb2faf9653,primary,,1107,American 18th Century,https://api.nga.gov/iiif/ce1cdccd-f996-45ce-b3d4-78bb2faf9653/full/max/0/default.jpg,NGA-ce1cdccd-f996-45ce-b3d4-78bb2faf9653
1135,,A Gentleman of the Morris Family,1749.0,1752.0,Oil on canvas,"overall: 76.4 x 63.4 cm (30 1/16 x 24 15/16 in.)
framed: 94 x 81 x 7.6 cm (37 x 31 7/8 x 3 in.)",Painting,1981,John Wollaston,Wollaston,"American, active c. 1742 - 1775",1742.0,1775.0,American,Q3182782,artist,painter,28ded22f-0ade-446c-bed7-8870c91d319c,primary,,1135,"John Wollaston (American, active c. 1742-1775)",https://api.nga.gov/iiif/28ded22f-0ade-446c-bed7-8870c91d319c/full/max/0/default.jpg,NGA-28ded22f-0ade-446c-bed7-8870c91d319c
1146,8514.0,The White Horse,1818.0,1819.0,Oil on canvas,"overall: 127 x 183 cm (50 x 72 1/16 in.)
framed: 164.5 x 219.7 x 17.2 cm (64 3/4 x 86 1/2 x 6 3/4 in.)",Painting,1158,John Constable,Constable,"British, 1776 - 1837",1776.0,1837.0,British,Q159297,artist,artist,f43020bc-c6cb-4225-9808-f95d854f5025,primary,,1146,"John Constable (British, 1776-1837)",https://api.nga.gov/iiif/f43020bc-c6cb-4225-9808-f95d854f5025/full/max/0/default.jpg,NGA-f43020bc-c6cb-4225-9808-f95d854f5025
1151,,Landscape with Picnickers and Donkeys by a Gate,1830.0,1880.0,Oil on canvas,overall: 123.2 x 99 cm (48 1/2 x 39 in.),Painting,6684,Joseph Paul,Paul,"British, 1804 - 1887",1804.0,1887.0,British,Q21464736,artist,painter,bcea6136-23e6-4474-8d55-2f36301d9ac9,primary,,1151,"Joseph Paul (British, 1804-1887)",https://api.nga.gov/iiif/bcea6136-23e6-4474-8d55-2f36301d9ac9/full/max/0/default.jpg,NGA-bcea6136-23e6-4474-8d55-2f36301d9ac9
1153,8434.0,Horsemen and Herdsmen with Cattle,1655.0,1660.0,Oil on canvas,"overall: 120 x 171.5 cm (47 1/4 x 67 1/2 in.)
framed: 164.2 x 214.3 x 17.2 cm (64 5/8 x 84 3/8 x 6 3/4 in.)",Painting,1202,Aelbert Cuyp,Cuyp,"Dutch, 1620 - 1691",1620.0,1691.0,Dutch,Q313194,artist,artist,194c86fb-0bcc-47eb-b848-f4bf2f24c30e,primary,,1153,"Aelbert Cuyp (Dutch, 1620-1691)",https://api.nga.gov/iiif/194c86fb-0bcc-47eb-b848-f4bf2f24c30e/full/max/0/default.jpg,NGA-194c86fb-0bcc-47eb-b848-f4bf2f24c30e
1154,8402.0,The Saint Anne Altarpiece: Saint Nicholas [left panel],1500.0,1520.0,Oil on panel,"painted surface (including addition at top): 234 x 74.9 cm (92 1/8 x 29 1/2 in.)
overall (panel): 236.1 x 75.7 cm (92 15/16 x 29 13/16 in.)",Painting,1211,Gerard David,David,"Netherlandish, c. 1460 - 1523",1460.0,1523.0,Netherlandish,Q333380,artist,painter,8d5e54e2-78be-4d80-b526-700e9746916e,primary,,1154,"Gerard David (Netherlandish, c. 1460-1523)",https://api.nga.gov/iiif/8d5e54e2-78be-4d80-b526-700e9746916e/full/max/0/default.jpg,NGA-8d5e54e2-78be-4d80-b526-700e9746916e
1154,8402.0,The Saint Anne Altarpiece: Saint Nicholas [left panel],1500.0,1520.0,Oil on panel,"painted surface (including addition at top): 234 x 74.9 cm (92 1/8 x 29 1/2 in.)
overall (panel): 236.1 x 75.7 cm (92 15/16 x 29 13/16 in.)",Painting,1211,Gerard David,David,"Netherlandish, c. 1460 - 1523",1460.0,1523.0,Netherlandish,Q333380,artist,related artist,8d5e54e2-78be-4d80-b526-700e9746916e,primary,,1154,"Possibly Gerard David (Netherlandish, c. 1460-1523)",https://api.nga.gov/iiif/8d5e54e2-78be-4d80-b526-700e9746916e/full/max/0/default.jpg,NGA-8d5e54e2-78be-4d80-b526-700e9746916e
1154,8402.0,The Saint Anne Altarpiece: Saint Nicholas [left panel],1500.0,1520.0,Oil on panel,"painted surface (including addition at top): 234 x 74.9 cm (92 1/8 x 29 1/2 in.)
overall (panel): 236.1 x 75.7 cm (92 15/16 x 29 13/16 in.)",Painting,49424,Netherlandish 15th/16th Century,Netherlandish 15th/16th Century,,,,,,artist,painter,8d5e54e2-78be-4d80-b526-700e9746916e,primary,,1154,Netherlandish 15th/16th Century,https://api.nga.gov/iiif/8d5e54e2-78be-4d80-b526-700e9746916e/full/max/0/default.jpg,NGA-8d5e54e2-78be-4d80-b526-700e9746916e
1161,,"John, 4th Earl of Darnley",1785.0,1785.0,Oil on canvas,overall: 76 x 63.5 cm (29 15/16 x 25 in.),Painting,1329,Thomas Gainsborough,Gainsborough,"British, 1727 - 1788",1727.0,1788.0,British,Q192720,artist,artist,ff6db495-6391-4f75-b638-53bc0dfe975e,primary,,1161,"Thomas Gainsborough (British, 1727-1788)",https://api.nga.gov/iiif/ff6db495-6391-4f75-b638-53bc0dfe975e/full/max/0/default.jpg,NGA-ff6db495-6391-4f75-b638-53bc0dfe975e
1160,8518.0,The Hon. Mrs. Thomas Graham,1775.0,1777.0,Oil on canvas,"overall: 89.5 x 69 cm (35 1/4 x 27 3/16 in.)
framed: 118.1 x 97.8 x 10.5 cm (46 1/2 x 38 1/2 x 4 1/8 in.)",Painting,1329,Thomas Gainsborough,Gainsborough,"British, 1727 - 1788",1727.0,1788.0,British,Q192720,artist,artist,360658c9-e588-4b72-933c-8d95ab53906a,primary,,1160,"Thomas Gainsborough (British, 1727-1788)",https://api.nga.gov/iiif/360658c9-e588-4b72-933c-8d95ab53906a/full/max/0/default.jpg,NGA-360658c9-e588-4b72-933c-8d95ab53906a
